High Demand (New Haven),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Demand (Fresno),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Demand (Atlanta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Demand (Miami),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Truck,,,,,,,,,,,,,,,,,,,,,,,,,Liquid Truck,,,,,,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,Gas Truck,,,,,,,,,,,,,,,,,,,,,,,,,Liquid Truck,,,,,,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,Gas Truck,,,,,,,,,,,,,,,,,,,,,,,,,Liquid Truck,,,,,,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,Gas Truck,,,,,,,,,,,,,,,,,,,,,,,,,Liquid Truck,,,,,,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Delivery Cost,Station Cost,Total Cost,Delivery GHG Cost,Station GHG Cost,Total GHG Cost,,Electtricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquid Capital Cost,Commpressor Liquid Cost,Station Capital Cost,Pipeline Capital Cost,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Delivery Cost,Station Cost,Total Cost,Delivery GHG Cost,Station GHG Cost,Total GHG Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Total Cost,Transmission GHG Cost,Distribution GHG Cost,Station GHG Cost,Total GHG Cost,,Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Delivery Cost,Station Cost,Total Cost,Delivery GHG Cost,Station GHG Cost,Total GHG Cost,,Electtricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquid Capital Cost,Commpressor Liquid Cost,Station Capital Cost,Pipeline Capital Cost,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Delivery Cost,Station Cost,Total Cost,Delivery GHG Cost,Station GHG Cost,Total GHG Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Total Cost,Transmission GHG Cost,Distribution GHG Cost,Station GHG Cost,Total GHG Cost,,Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Delivery Cost,Station Cost,Total Cost,Delivery GHG Cost,Station GHG Cost,Total GHG Cost,,Electtricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquid Capital Cost,Commpressor Liquid Cost,Station Capital Cost,Pipeline Capital Cost,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Delivery Cost,Station Cost,Total Cost,Delivery GHG Cost,Station GHG Cost,Total GHG Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Total Cost,Transmission GHG Cost,Distribution GHG Cost,Station GHG Cost,Total GHG Cost,,Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Delivery Cost,Station Cost,Total Cost,Delivery GHG Cost,Station GHG Cost,Total GHG Cost,,Electtricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquid Capital Cost,Commpressor Liquid Cost,Station Capital Cost,Pipeline Capital Cost,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Delivery Cost,Station Cost,Total Cost,Delivery GHG Cost,Station GHG Cost,Total GHG Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Hydrogen Fuel's CI,Electricity's CI,Liquefaction Efficiency,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Total Cost,Transmission GHG Cost,Distribution GHG Cost,Station GHG Cost,Total GHG Cost
0,83,13,0,100,0,0,32,8,288160,1,1,1,1,2426,304,1,1,2,1,3,1104,546,1651,,0,83,13,0,100,0,0,32,8,288160,1,1,1,1,2426,304,1,1,3,0,4,3149,165,3314,,0,83,0,0,0,32,8,288160,1,1,1,1,100,2426,304,1,1,1,1,1,3,175,74,1502,1751,,0,81,9,0,100,0,0,33,11,208645,1,1,1,1,4723,495,1,1,2,1,2,1782,889,2671,,0,81,9,0,100,0,0,33,11,208645,1,1,1,1,4723,495,1,1,3,0,3,5123,268,5391,,0,81,0,0,0,33,11,208645,1,1,1,1,100,4723,495,1,1,1,1,1,2,323,109,2445,2877,,0,82,15,0,100,0,0,397,8,248403,1,1,1,1,3574,600,1,1,2,0,2,2183,1077,3260,,0,82,15,0,100,0,0,397,8,248403,1,1,1,1,3574,600,1,1,2,0,2,6209,325,6534,,0,82,0,0,0,397,8,248403,1,1,1,1,100,3574,600,1,1,0,1,0,2,308,788,2961,4056,,0,83,13,0,100,0,0,372,8,288160,1,1,1,1,2426,304,1,1,2,1,3,1117,546,1663,,0,83,13,0,100,0,0,372,8,288160,1,1,1,1,2426,304,1,1,3,0,3,3152,165,3316,,0,83,0,0,0,372,8,288160,1,1,1,1,100,2426,304,1,1,0,1,1,2,170,401,1502,2073
0,71,8,0,100,0,0,38,11,237197,1,1,1,1,6613,455,1,1,2,1,2,1695,818,2513,,0,71,8,0,100,0,0,38,11,237197,1,1,1,1,6613,455,1,1,3,0,4,4720,246,4966,,0,71,0,0,0,38,11,237197,1,1,1,1,100,6613,455,1,1,1,1,1,3,235,105,2247,2588,,0,87,13,0,100,0,0,31,8,309801,1,1,1,1,5322,545,1,1,2,0,2,1999,979,2977,,0,87,13,0,100,0,0,31,8,309801,1,1,1,1,5322,545,1,1,3,0,3,5644,295,5939,,0,87,0,0,0,31,8,309801,1,1,1,1,100,5322,545,1,1,1,1,1,2,271,91,2690,3052,,0,79,15,0,100,0,0,413,11,373499,1,1,1,1,3467,300,1,1,2,1,3,1120,539,1659,,0,79,15,0,100,0,0,413,11,373499,1,1,1,1,3467,300,1,1,2,0,2,3111,162,3274,,0,79,0,0,0,413,11,373499,1,1,1,1,100,3467,300,1,1,0,1,1,2,181,481,1481,2143,,0,71,8,0,100,0,0,437,11,237197,1,1,1,1,6613,455,1,1,2,1,3,1722,818,2540,,0,71,8,0,100,0,0,437,11,237197,1,1,1,1,6613,455,1,1,3,0,3,4724,246,4971,,0,71,0,0,0,437,11,237197,1,1,1,1,100,6613,455,1,1,0,1,1,2,229,552,2247,3028
0,73,9,0,100,0,0,37,11,393558,1,1,1,1,3313,241,1,1,2,1,2,891,433,1324,,0,73,9,0,100,0,0,37,11,393558,1,1,1,1,3313,241,1,1,3,0,3,2499,131,2630,,0,73,0,0,0,37,11,393558,1,1,1,1,100,3313,241,1,1,1,1,1,3,135,84,1191,1410,,0,87,15,0,100,0,0,31,9,275457,1,1,1,1,2997,234,1,1,2,0,2,874,421,1294,,0,87,15,0,100,0,0,31,9,275457,1,1,1,1,2997,234,1,1,3,0,3,2428,127,2554,,0,87,0,0,0,31,9,275457,1,1,1,1,100,2997,234,1,1,1,1,1,2,125,41,1156,1322,,0,80,8,0,100,0,0,408,8,234507,1,1,1,1,5655,238,1,1,2,0,2,1023,427,1450,,0,80,8,0,100,0,0,408,8,234507,1,1,1,1,5655,238,1,1,2,0,2,2487,129,2615,,0,80,0,0,0,408,8,234507,1,1,1,1,100,5655,238,1,1,0,1,0,2,132,341,1173,1646,,0,73,9,0,100,0,0,424,11,393558,1,1,1,1,3313,241,1,1,2,1,2,904,433,1337,,0,73,9,0,100,0,0,424,11,393558,1,1,1,1,3313,241,1,1,2,0,3,2501,131,2632,,0,73,0,0,0,424,11,393558,1,1,1,1,100,3313,241,1,1,0,1,1,2,136,313,1191,1639
0,71,11,0,100,0,0,38,9,202506,1,1,1,1,6779,269,1,1,2,1,2,1090,483,1573,,0,71,11,0,100,0,0,38,9,202506,1,1,1,1,6779,269,1,1,2,0,3,2803,146,2949,,0,71,0,0,0,38,9,202506,1,1,1,1,100,6779,269,1,1,1,1,1,3,140,90,1328,1558,,0,80,9,0,100,0,0,33,10,205176,1,1,1,1,6564,275,1,1,2,0,2,1081,494,1575,,0,80,9,0,100,0,0,33,10,205176,1,1,1,1,6564,275,1,1,3,0,3,2863,149,3012,,0,80,0,0,0,33,10,205176,1,1,1,1,100,6564,275,1,1,1,1,1,2,138,47,1359,1544,,0,85,14,0,100,0,0,381,10,303841,1,1,1,1,4172,272,1,1,2,0,3,1063,489,1552,,0,85,14,0,100,0,0,381,10,303841,1,1,1,1,4172,272,1,1,2,0,3,2829,147,2977,,0,85,0,0,0,381,10,303841,1,1,1,1,100,4172,272,1,1,0,1,1,2,137,359,1343,1839,,0,71,11,0,100,0,0,438,9,202506,1,1,1,1,6779,269,1,1,2,1,2,1122,483,1605,,0,71,11,0,100,0,0,438,9,202506,1,1,1,1,6779,269,1,1,2,0,2,2808,146,2954,,0,71,0,0,0,438,9,202506,1,1,1,1,100,6779,269,1,1,0,1,1,2,141,330,1328,1798
0,77,13,0,100,0,0,35,11,378168,1,1,1,1,5615,527,1,1,2,1,3,1918,947,2866,,0,77,13,0,100,0,0,35,11,378168,1,1,1,1,5615,527,1,1,4,0,5,5461,286,5746,,0,77,0,0,0,35,11,378168,1,1,1,1,100,5615,527,1,1,1,1,1,3,303,91,2604,2998,,0,89,12,0,100,0,0,30,11,276754,1,1,1,1,5045,556,1,1,2,1,2,2000,999,3000,,0,89,12,0,100,0,0,30,11,276754,1,1,1,1,5045,556,1,1,4,0,4,5757,301,6058,,0,89,0,0,0,30,11,276754,1,1,1,1,100,5045,556,1,1,1,1,1,2,346,78,2747,3170,,0,83,8,0,100,0,0,394,11,227461,1,1,1,1,5330,542,1,1,2,0,3,2002,973,2975,,0,83,8,0,100,0,0,394,11,227461,1,1,1,1,5330,542,1,1,3,0,3,5616,293,5909,,0,83,0,0,0,394,11,227461,1,1,1,1,100,5330,542,1,1,0,2,1,3,309,842,2675,3827,,0,77,13,0,100,0,0,401,11,378168,1,1,1,1,5615,527,1,1,2,1,3,1941,947,2888,,0,77,13,0,100,0,0,401,11,378168,1,1,1,1,5615,527,1,1,4,0,4,5465,286,5750,,0,77,0,0,0,401,11,378168,1,1,1,1,100,5615,527,1,1,0,1,1,2,287,699,2604,3590
0,88,11,0,100,0,0,31,9,264563,1,1,1,1,2631,220,1,1,2,1,2,819,395,1214,,0,88,11,0,100,0,0,31,9,264563,1,1,1,1,2631,220,1,1,3,0,4,2278,119,2397,,0,88,0,0,0,31,9,264563,1,1,1,1,100,2631,220,1,1,1,1,1,3,132,55,1084,1272,,0,79,11,0,100,0,0,34,11,382259,1,1,1,1,4406,324,1,1,2,0,2,1191,581,1772,,0,79,11,0,100,0,0,34,11,382259,1,1,1,1,4406,324,1,1,3,0,3,3352,175,3527,,0,79,0,0,0,34,11,382259,1,1,1,1,100,4406,324,1,1,1,1,1,2,182,65,1597,1843,,0,73,11,0,100,0,0,444,10,323411,1,1,1,1,3518,272,1,1,2,1,3,1038,488,1525,,0,73,11,0,100,0,0,444,10,323411,1,1,1,1,3518,272,1,1,2,0,3,2820,147,2967,,0,73,0,0,0,444,10,323411,1,1,1,1,100,3518,272,1,1,0,2,1,3,155,413,1341,1909,,0,88,11,0,100,0,0,351,9,264563,1,1,1,1,2631,220,1,1,2,1,3,832,395,1227,,0,88,11,0,100,0,0,351,9,264563,1,1,1,1,2631,220,1,1,3,0,3,2280,119,2399,,0,88,0,0,0,351,9,264563,1,1,1,1,100,2631,220,1,1,0,1,1,2,129,299,1084,1512
0,81,8,0,100,0,0,33,10,216172,1,1,1,1,5677,565,1,1,2,0,2,2059,1016,3075,,0,81,8,0,100,0,0,33,10,216172,1,1,1,1,5677,565,1,1,3,0,3,5854,306,6160,,0,81,0,0,0,33,10,216172,1,1,1,1,100,5677,565,1,1,1,1,1,2,327,138,2791,3257,,0,83,8,0,100,0,0,32,9,383594,1,1,1,1,5258,533,1,1,2,0,2,1952,958,2909,,0,83,8,0,100,0,0,32,9,383594,1,1,1,1,5258,533,1,1,2,0,2,5522,289,5810,,0,83,0,0,0,32,9,383594,1,1,1,1,100,5258,533,1,1,1,1,0,2,275,140,2632,3047,,0,82,8,0,100,0,0,397,9,399883,1,1,1,1,5467,549,1,1,2,0,2,2056,987,3042,,0,82,8,0,100,0,0,397,9,399883,1,1,1,1,5467,549,1,1,2,0,2,5696,297,5994,,0,82,0,0,0,397,9,399883,1,1,1,1,100,5467,549,1,1,0,1,1,2,362,947,2712,4020,,0,81,8,0,100,0,0,380,10,216172,1,1,1,1,5677,565,1,1,2,0,2,2084,1016,3100,,0,81,8,0,100,0,0,380,10,216172,1,1,1,1,5677,565,1,1,2,0,3,5858,306,6165,,0,81,0,0,0,380,10,216172,1,1,1,1,100,5677,565,1,1,0,1,1,2,318,748,2791,3857
0,88,13,0,100,0,0,31,10,204287,1,1,1,1,3318,436,1,1,2,1,3,1563,784,2347,,0,88,13,0,100,0,0,31,10,204287,1,1,1,1,3318,436,1,1,3,0,3,4515,236,4751,,0,88,0,0,0,31,10,204287,1,1,1,1,100,3318,436,1,1,1,1,1,3,286,82,2155,2522,,0,85,13,0,100,0,0,31,9,393847,1,1,1,1,5417,237,1,1,2,1,3,949,427,1376,,0,85,13,0,100,0,0,31,9,393847,1,1,1,1,5417,237,1,1,4,0,4,2473,129,2601,,0,85,0,0,0,31,9,393847,1,1,1,1,100,5417,237,1,1,1,1,1,2,140,31,1172,1344,,0,86,9,0,100,0,0,377,11,299067,1,1,1,1,6868,537,1,1,2,0,2,2024,965,2989,,0,86,9,0,100,0,0,377,11,299067,1,1,1,1,6868,537,1,1,2,0,3,5571,291,5862,,0,86,0,0,0,377,11,299067,1,1,1,1,100,6868,537,1,1,0,1,1,2,328,868,2651,3847,,0,88,13,0,100,0,0,353,10,204287,1,1,1,1,3318,436,1,1,2,1,3,1577,784,2361,,0,88,13,0,100,0,0,353,10,204287,1,1,1,1,3318,436,1,1,3,0,3,4517,236,4754,,0,88,0,0,0,353,10,204287,1,1,1,1,100,3318,436,1,1,0,1,1,2,271,646,2155,3072
0,74,12,0,100,0,0,37,9,305386,1,1,1,1,5551,387,1,1,2,1,3,1469,696,2165,,0,74,12,0,100,0,0,37,9,305386,1,1,1,1,5551,387,1,1,3,0,4,4022,210,4232,,0,74,0,0,0,37,9,305386,1,1,1,1,100,5551,387,1,1,1,1,1,3,195,88,1913,2196,,0,84,7,0,100,0,0,32,11,340667,1,1,1,1,2485,565,1,1,2,0,2,1981,1016,2997,,0,84,7,0,100,0,0,32,11,340667,1,1,1,1,2485,565,1,1,3,0,3,5842,306,6148,,0,84,0,0,0,32,11,340667,1,1,1,1,100,2485,565,1,1,1,1,1,2,293,102,2792,3187,,0,89,14,0,100,0,0,368,8,223027,1,1,1,1,6518,276,1,1,2,0,3,1198,497,1695,,0,89,14,0,100,0,0,368,8,223027,1,1,1,1,6518,276,1,1,2,0,3,2894,150,3044,,0,89,0,0,0,368,8,223027,1,1,1,1,100,6518,276,1,1,0,1,1,2,139,366,1365,1869,,0,74,12,0,100,0,0,420,9,305386,1,1,1,1,5551,387,1,1,2,1,3,1496,696,2192,,0,74,12,0,100,0,0,420,9,305386,1,1,1,1,5551,387,1,1,3,0,3,4026,210,4236,,0,74,0,0,0,420,9,305386,1,1,1,1,100,5551,387,1,1,0,1,1,2,185,457,1913,2555
0,86,13,0,100,0,0,32,10,377796,1,1,1,1,5925,344,1,1,2,1,2,1306,618,1924,,0,86,13,0,100,0,0,32,10,377796,1,1,1,1,5925,344,1,1,2,0,3,3573,186,3759,,0,86,0,0,0,32,10,377796,1,1,1,1,100,5925,344,1,1,1,1,1,3,173,73,1699,1946,,0,90,15,0,100,0,0,30,9,317929,1,1,1,1,2855,361,1,1,2,1,2,1304,648,1952,,0,90,15,0,100,0,0,30,9,317929,1,1,1,1,2855,361,1,1,3,0,4,3734,195,3929,,0,90,0,0,0,30,9,317929,1,1,1,1,100,2855,361,1,1,1,1,1,2,184,60,1781,2025,,0,78,10,0,100,0,0,419,11,347862,1,1,1,1,4390,552,1,1,2,0,3,2008,992,3000,,0,78,10,0,100,0,0,419,11,347862,1,1,1,1,4390,552,1,1,2,0,3,5720,299,6019,,0,78,0,0,0,419,11,347862,1,1,1,1,100,4390,552,1,1,0,1,1,2,332,874,2728,3934,,0,86,13,0,100,0,0,360,10,377796,1,1,1,1,5925,344,1,1,2,1,3,1331,618,1949,,0,86,13,0,100,0,0,360,10,377796,1,1,1,1,5925,344,1,1,2,0,2,3577,186,3763,,0,86,0,0,0,360,10,377796,1,1,1,1,100,5925,344,1,1,0,1,1,2,168,394,1699,2262
