City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Atlanta,Gas Truck,Total Cost,Fuel Price,0.21633336175602938,0.2165762648216634,0.21430473207414763,0.21879687684601318,0.21633336175602938,0.2165762648216634,0.21430473207414763,0.21879687684601318
Atlanta,Gas Truck,Total Cost,Cab Cost,0.14145247358889454,0.14121806848715832,0.14150847183434387,0.14601007306475852,0.14145247358889454,0.14121806848715832,0.14150847183434387,0.14601007306475852
Atlanta,Gas Truck,Total Cost,Utilization,-0.10008165396291714,-0.10001153735474773,-0.2699977993485344,-0.021906296670172565,0.10008165396291714,0.10001153735474773,0.2699977993485344,0.021906296670172565
Atlanta,Gas Truck,Total Cost,Stations,0.09852186820642791,0.09883082158354195,-0.17129100656954416,-0.016750355905392495,0.09852186820642791,0.09883082158354195,0.17129100656954416,0.016750355905392495
Atlanta,Gas Truck,Total Cost,Fuel Economy,-0.09781591911344344,-0.09754316791716605,-0.09736969545759845,-0.10094259671495989,0.09781591911344344,0.09754316791716605,0.09736969545759845,0.10094259671495989
Atlanta,Gas Truck,Total Cost,Hydrogen Fuel's CI,-0.018893227332915787,-0.018849546442197794,-0.02257317575219416,-0.02362206108450427,0.018893227332915787,0.018849546442197794,0.02257317575219416,0.02362206108450427
Atlanta,Gas Truck,Total Cost,Electricity's CI,-0.00020702741673747863,-7.467795264170709e-05,-0.0017194232289075176,-0.001700312898908136,0.00020702741673747863,7.467795264170709e-05,0.0017194232289075176,0.001700312898908136
Atlanta,Gas Truck,Total Cost,Electricity Cost,,,0.0,,,,0.0,
Atlanta,Gas Truck,Total Cost,Gas Leak,,,8.326672684688674e-17,,,,8.326672684688674e-17,
Atlanta,Gas Truck,Total Cost,Trans Length,,,8.326672684688674e-17,,,,8.326672684688674e-17,
Atlanta,Gas Truck,Total Cost,Gas Station Leak,,,-1.5959455978986625e-16,,,,1.5959455978986625e-16,
Atlanta,Gas Truck,Total Cost,Gas Trans Leak,,,0.0,,,,0.0,
Atlanta,Gas Truck,Total Cost,Liquid CC,,,-2.7325320054333933e-44,,,,2.7325320054333933e-44,
Atlanta,Gas Truck,Total Cost,Com CC,,,5.605193857299268e-45,,,,5.605193857299268e-45,
Atlanta,Gas Truck,Total Cost,Station CC,,,-6.969777111204479e-59,,,,6.969777111204479e-59,
