New Haven High Demand,,,,Fresno High Demand,,,,Atlanta High Demand,,,,Miami High Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
3.73524764,4.3338599,4.05745668,,3.96937348,4.09650455,3.56149705,,4.07533506,3.43843065,2.5560811,,4.17669923,3.70430749,2.52576668
3.27325888,3.28814501,3.72704563,,3.59830586,4.19025402,3.76150604,,3.70362313,3.55295431,2.50443285,,3.75277591,3.7653812,2.70876069
3.5958572,4.67174979,3.86684615,,3.47546033,3.40839827,3.5135333,,3.89907636,3.46855329,2.62415583,,3.64670063,3.04205597,2.35018694
4.19533275,4.42906533,3.92680947,,3.37384575,2.98889362,3.44668804,,3.57570449,2.79811904,2.48388849,,3.54971972,2.63013511,2.2800543
3.1301084,2.90806117,3.6161726,,4.17699321,5.48505805,3.80016387,,3.74978436,3.02217068,2.55693885,,4.36696131,5.03850313,2.82269898
3.38742239,3.24971208,3.79840457,,3.66624371,4.02183259,3.41508301,,4.00829459,3.76203127,2.76781902,,3.86505271,3.6043184,2.34672595
3.66531366,4.32300685,3.83194634,,3.31950142,3.87300026,3.48396716,,3.66346108,4.04188996,2.58136607,,3.47265004,3.36353071,2.39815817
4.18756934,4.68468286,3.89235936,,3.90604716,4.06870295,3.63867337,,3.6474624,2.6923894,2.39678371,,4.08190664,3.70240626,2.64289094
3.52945559,3.33872817,3.72804565,,4.02409473,4.43229113,3.73946213,,4.1412093,3.62430582,2.71854781,,4.22993257,4.08974457,2.72841148
3.79245508,3.52728998,3.75001531,,3.71046332,3.4062345,3.43186273,,3.73707011,3.61136094,2.77216425,,3.91006807,3.05779991,2.31745263
3.87599763,4.75434782,4.00456089,,3.69218855,4.34556405,3.46841937,,3.81153693,2.86277565,2.52958764,,3.87125194,3.98197945,2.42306372
4.07776062,4.29034476,3.84750337,,3.4763366,4.25198484,3.57416009,,4.88912452,4.96711479,3.09185179,,3.63794944,3.80891483,2.50496955
3.82727472,4.0832002,3.75137701,,3.90418165,5.24387274,3.5955407,,4.09124306,3.92989142,2.64392138,,4.08688292,4.74454821,2.69903067
3.81327022,3.93044982,3.79309879,,3.87298019,4.45790717,3.82450602,,3.81282994,2.97421569,2.58135947,,4.05121504,4.09340258,2.76954749
3.58319249,3.59537031,3.56252607,,3.8507928,3.92553552,3.53254478,,4.67266953,4.35679709,3.01059651,,4.0481065,3.46450182,2.41632467
4.47071144,4.79667993,4.13344018,,4.18908864,4.37096107,3.81432066,,4.02628672,3.72138316,2.73872293,,4.38452775,3.96819839,2.86453156
3.72824378,3.50860554,3.79485282,,3.53770147,3.43689984,3.45208867,,3.92143937,3.45588078,2.61971216,,3.73008027,3.06446595,2.31733804
3.97880188,4.18912286,3.94579694,,4.00027533,4.63877302,3.64949911,,4.12214636,3.45811383,2.76816859,,4.18173749,4.3101156,2.69080898
