New Haven Low Demand,,,,Fresno Low Demand,,,,Atlanta Low Demand,,,,Miami Low Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
5.23279747,6.09578815,39.1587222,,4.79193849,5.6907119,34.8196056,,4.06977089,4.64663088,14.9608928,,4.93789563,5.7561913,14.7324309
4.66287679,5.06134378,38.6386788,,6.04083084,6.37797085,38.6863579,,3.84082152,4.95995848,15.3148246,,3.96207334,4.44659248,12.8942269
5.09795378,6.41521674,40.9074588,,3.79741013,4.48656393,31.2792555,,4.20573233,4.89691728,14.9343775,,4.60630928,5.97122539,15.1108624
5.13008766,5.89487051,38.93431,,4.74374089,5.65188347,32.8580715,,4.75281082,4.79438667,18.382547,,4.55211528,5.38688349,13.3582104
4.83368466,4.8892509,42.1122431,,4.21066649,5.20237782,32.3146011,,5.45971736,5.50891306,21.2250557,,4.51733384,4.49600243,16.0368712
4.75539931,4.95925262,38.1170628,,4.77731062,5.25333754,36.2048936,,4.24011317,5.05588196,15.6986835,,4.12030422,4.40443978,13.113068
4.40910306,5.72445722,36.2779924,,4.37257533,5.49685452,33.1294421,,3.99220265,5.45293494,16.1139885,,3.89203446,5.20869412,11.8216064
5.19839652,6.32346496,39.0902752,,5.10379404,5.8784748,35.4118614,,3.48344213,3.67729097,13.7416087,,4.52424537,5.70237303,13.280994
4.22649332,4.63608332,34.5602968,,4.87195476,5.97315508,33.5539449,,4.75028293,5.26915603,17.2574073,,3.95238909,4.31388772,12.2982155
4.78754027,5.18535313,36.7819655,,4.05437706,5.23246041,32.6668364,,4.99457092,5.50878627,19.5667812,,4.38620584,4.70768962,13.5319618
4.90231473,6.16635917,36.7633855,,5.65661074,5.7277469,36.6791969,,4.11134275,4.18500846,15.9645827,,4.62124365,5.85141461,13.2444965
5.24171323,6.05164085,40.696657,,4.8162612,4.78663824,36.1274282,,5.40705352,6.5518866,17.3892309,,4.95656961,5.64093195,15.3444371
4.50752577,5.43980802,36.270315,,4.16385461,4.56989901,32.7815703,,4.14486265,5.21544112,15.6509162,,4.15311148,5.03723667,12.1761029
4.55385031,5.31005954,35.1108481,,4.49603032,4.61949017,35.9100018,,4.09793772,4.23849911,15.5592532,,3.95845121,4.76091325,11.6942851
4.0482561,4.88410177,34.5130001,,4.31971475,5.19563675,32.9765796,,5.48950759,6.13819557,19.5012787,,3.43347485,4.30165111,10.8624854
6.80925175,7.35386393,41.2337533,,5.63660426,5.95871637,36.5569471,,5.11576841,5.66825307,20.2262249,,6.45809939,6.89419024,17.6818982
4.93326556,5.26180074,39.9067849,,5.06010495,5.27290236,34.514974,,4.21584421,4.76284438,15.2897693,,4.50273838,4.76518964,14.6211032
5.4981978,6.02898585,39.333467,,6.65253616,6.8988009,40.1753323,,5.1069184,5.29790773,19.365657,,4.85637705,5.43562369,13.8397193
4.18112719,4.95367766,35.6936732,,5.44508393,6.28500231,35.536467,,4.37229376,5.27664056,16.2863514,,3.94826429,4.64975935,12.4554521
4.58430513,6.31910056,36.4428451,,3.66849843,4.4377176,31.2624134,,5.46285413,6.5544087,18.8631904,,3.90638619,5.75063221,11.5878361
4.19773812,4.49621168,35.9613105,,5.50768872,5.53316672,36.6079638,,4.48902655,4.96431897,15.604842,,3.63612485,3.98612482,11.1543962
6.0160687,6.41386492,40.9476619,,4.37434691,4.76223729,33.0645364,,4.11037829,4.36432597,14.9109702,,5.26001234,5.73882766,15.1210294
4.87127858,5.61425856,38.6789461,,5.65677193,6.00452715,34.7123568,,4.38642078,4.99374426,16.0553217,,4.49319415,5.19770493,13.7624462
4.77535474,5.0023225,40.2252473,,5.00078214,5.50913612,34.9396878,,5.21040378,5.53210543,18.7970998,,4.27303092,4.52869687,14.4631788
4.27107362,4.36164488,36.0019763,,6.05821058,6.50248939,37.4246444,,3.83976332,4.02948376,14.4067755,,3.68373711,3.79654607,11.348585
5.20507682,6.16147686,39.1249742,,4.3247865,5.38240538,32.8262364,,3.58286087,4.1934581,14.3571585,,4.99176259,5.80899506,14.6985852
4.57474515,5.21254019,35.4105333,,4.13300417,5.23019503,32.8127352,,4.32746933,5.45712198,14.5269767,,4.09084649,4.68867732,12.0765332
4.28626028,5.33406657,34.1989369,,5.52221569,6.53675249,35.5338491,,4.93262308,5.80124496,18.8182882,,3.95283176,4.94159098,12.2639104
6.05592624,5.52004844,44.6197782,,6.27316177,6.38333037,38.8157237,,4.35009936,4.84579421,17.9341049,,5.50203099,4.95696213,17.3847375
5.7554418,6.06161585,40.2937228,,7.59475373,8.22655788,41.1800547,,4.33814351,5.45549223,15.9487072,,5.41147322,5.6460772,16.9361249
4.92262874,6.05589254,38.7342821,,6.37860614,7.32730526,38.9739775,,4.74589504,4.70950501,17.7831019,,4.74041526,5.71854057,14.4793821
5.10623264,6.34330843,38.8463483,,5.38988112,6.28783326,35.4353758,,5.03036108,4.94685981,17.3731498,,4.47327432,5.7430096,13.1759321
