New Haven Medium Demand,,,,Fresno Medium Demand,,,,Atlanta Medium Demand,,,,Miami Medium Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
3.123740336,5.172009832,6.763872263,,3.063246976,4.538973199,5.910013015,,2.778713153,2.840924664,4.366392784,,3.182327065,4.523521938,3.860242393
3.53474663,4.813153716,7.28507179,,3.320030124,4.659646147,6.559338329,,3.164557212,3.378471584,4.436602955,,3.608339267,4.291074728,4.37671188
3.047284599,4.341249527,6.905998683,,2.393636194,3.556991376,5.125752044,,2.830486089,3.13176156,4.231773703,,3.137974517,3.704225447,3.925288986
3.197251641,4.56726801,7.050661347,,3.213140543,4.698334125,5.786521618,,3.431956396,4.250959985,5.557946363,,3.263017576,3.884897345,4.091801157
3.572453782,4.586608512,7.359100498,,2.855320218,4.323225777,5.668937585,,3.067023776,3.90306188,4.779592323,,3.628057154,3.972616818,4.402388113
2.823540814,4.583731937,6.352960875,,2.754239703,3.887797385,5.915371733,,2.628244169,3.118364487,4.040358138,,2.932379958,3.879184441,3.594786558
3.274204528,5.498183871,6.603364675,,2.888130958,4.504615211,5.757717983,,3.183057948,4.653839967,4.684034796,,3.387986661,4.85971616,3.943778258
2.861192191,4.197280251,6.384706001,,2.981307236,4.496113173,5.923447509,,3.326647423,4.737793144,4.726451109,,2.949632536,3.577388387,3.620215082
2.5043778,3.581175254,6.33233845,,3.11168623,4.851213714,5.681554195,,3.348755158,3.700087417,5.153904704,,2.601399006,2.917635276,3.482994039
2.94618163,4.285256434,6.470497338,,2.728542519,4.394938325,5.56479182,,2.933388546,3.618349099,4.926634689,,3.029016447,3.585560058,3.657597326
3.269609888,5.271566122,7.140759052,,3.193500266,4.180307545,6.321036897,,2.564166836,3.391392365,4.227125659,,3.31650424,4.659617684,4.197672021
3.164792011,4.823155301,6.970061709,,2.691443547,3.381936452,5.788578151,,3.259145525,3.689913253,4.855133522,,3.267470314,4.09426082,4.152291005
3.025389239,4.392640326,6.514907666,,2.579765134,3.559368611,5.498799188,,3.362528746,4.817294463,4.73211869,,3.108683329,3.886455911,3.802310206
2.874500562,3.554158275,7.020611371,,2.455134582,3.275479708,5.711007006,,3.131625943,3.917278874,4.643773417,,2.937200159,2.986903605,3.96185932
3.303800317,5.268526884,7.191943083,,2.846351465,4.206213289,5.693901536,,3.359956886,4.55194446,4.783845823,,3.347844859,4.573422357,4.215539022
3.154313816,4.532065827,7.123811289,,2.968918884,4.221811582,6.30594151,,3.321203431,4.45451031,5.369386559,,3.249761557,3.833209906,4.1408295
2.696811812,3.649729134,6.171722287,,2.995899418,3.892452705,5.999786677,,2.748626933,3.45189964,4.43678001,,2.783032701,3.107028789,3.433975421
3.411697199,4.563688111,7.46401681,,3.318718844,4.721661383,6.555132594,,2.8011885,3.358714351,4.349203024,,3.515390979,4.050135299,4.534547179
2.744524204,3.49636091,6.749808811,,3.243959193,4.910823168,6.177687818,,3.012750865,4.02294362,4.628703063,,2.859286962,2.879068733,3.807779456
