City Name,Delivery Mode,Demand Level,Leakage Level,Distribution Leakage Rate,Transmission Lekage Rate,Station Leakage Rate,Transmission GHG,Distribution GHG,Station GHG,Total GHG,GHG Difference,GHG Cost Difference,Cost Differnce,Total Cost,Cumulative Leakage Rate
New Haven,Gas,Low,Low,0.0012,0.0012,0.0017,1385.47098,1285.89844,663.952936,3335.32235,-1.60004724,-0.00016,-0.01188023,-0.01204024,0.004
New Haven,Gas,Low,Medium,0.0018,0.0256,0.0041,1385.47098,1285.89844,665.552983,3336.9224,0,0,0,0,0.032
New Haven,Gas,Low,High,0.0024,0.05,0.0065,1392.10915,1285.89844,667.160761,3345.16835,8.24594689,0.00082459,0.02449608,0.02532068,0.062
New Haven,Liquid,Low,Low,0.005,0.001,0.01,3827.99952,3811.57646,201.772001,7841.34798,-1.12721788,-0.00011272,-0.08230674,-0.08241946,0.016
New Haven,Liquid,Low,Medium,0.03,0.0255,0.0155,3827.99952,3811.57646,202.899219,7842.4752,0,0,0,0,0.075
New Haven,Liquid,Low,High,0.055,0.05,0.021,3827.99952,3811.57646,204.039102,7843.61508,1.13988325,0.00011399,0.08796412,0.08807811,0.138
New Haven,Pipeline,Low,Low,0.001,0.0002,0.0017,320.417698,277.669542,1824.88223,2422.96947,25.5570509,0.00255571,-0.01150359,-0.00894788,0.003
New Haven,Pipeline,Low,Medium,0.0255,0.0003,0.0041,289.244826,278.887615,1829.27997,2397.41241,0,0,0,0,0.031
New Haven,Pipeline,Low,High,0.05,0.0004,0.0065,289.244826,280.188742,1833.69897,2403.13254,5.72012253,0.00057201,0.01172341,0.01229542,0.060
Fresno,Gas,Low,Low,0.0012,0.0012,0.0017,1386.74202,1279.46096,663.952936,3330.15591,-1.60004724,-0.00016,-0.01178023,-0.01194024,0.004
Fresno,Gas,Low,Medium,0.0018,0.0256,0.0041,1386.74202,1279.46096,665.552983,3331.75596,0,0,0,0,0.032
Fresno,Gas,Low,High,0.0024,0.05,0.0065,1393.44708,1279.46096,667.160761,3340.06881,8.31284381,0.00083128,0.02469608,0.02552736,0.062
Fresno,Liquid,Low,Low,0.005,0.001,0.01,3827.99952,3810.31209,201.772001,7840.08361,-1.12721788,-0.00011272,-0.08210674,-0.08221946,0.016
Fresno,Liquid,Low,Medium,0.03,0.0255,0.0155,3827.99952,3810.31209,202.899219,7841.21083,0,0,0,0,0.075
Fresno,Liquid,Low,High,0.055,0.05,0.021,3827.99952,3810.31209,204.039102,7842.35071,1.13988325,0.00011399,0.08796412,0.08807811,0.138
Fresno,Pipeline,Low,Low,0.001,0.0002,0.0017,319.513616,289.518515,1824.88223,2433.91436,-6.10278588,-0.00061028,-0.01220359,-0.01281386,0.003
Fresno,Pipeline,Low,Medium,0.0255,0.0003,0.0041,319.513616,291.223553,1829.27997,2440.01714,0,0,0,0,0.031
Fresno,Pipeline,Low,High,0.05,0.0004,0.0065,288.692115,273.265317,1833.69897,2395.6564,-44.3607412,-0.00443607,0.01202341,0.00758734,0.060
Atlanta,Gas,Low,Low,0.0012,0.0012,0.0017,1387.47678,1342.95668,663.952936,3394.3864,-5.40054364,-0.00054005,-0.02688023,-0.02742029,0.004
Atlanta,Gas,Low,Medium,0.0018,0.0256,0.0041,1391.27728,1342.95668,665.552983,3399.78695,0,0,0,0,0.032
Atlanta,Gas,Low,High,0.0024,0.05,0.0065,1395.07778,1343.49961,667.160761,3405.73815,5.95120217,0.00059512,0.03619608,0.0367912,0.062
Atlanta,Liquid,Low,Low,0.005,0.001,0.01,3827.99952,3820.66788,201.772001,7850.4394,-1.12721788,-0.00011272,-0.09080674,-0.09091946,0.016
Atlanta,Liquid,Low,Medium,0.03,0.0255,0.0155,3827.99952,3820.66788,202.899219,7851.56662,0,0,0,0,0.075
Atlanta,Liquid,Low,High,0.055,0.05,0.021,3827.99952,3820.66788,204.039102,7852.7065,1.13988325,0.00011399,0.09246412,0.09257811,0.138
Atlanta,Pipeline,Low,Low,0.001,0.0002,0.0017,293.638045,520.021816,1824.88223,2638.54209,-10.6012572,-0.00106013,-0.01640359,-0.01746371,0.003
Atlanta,Pipeline,Low,Medium,0.0255,0.0003,0.0041,293.638045,526.225325,1829.27997,2649.14334,0,0,0,0,0.031
Atlanta,Pipeline,Low,High,0.05,0.0004,0.0065,293.638045,532.645268,1833.69897,2659.98228,10.8389382,0.00108389,0.01712341,0.0182073,0.060
Miami,Gas,Low,Low,0.0012,0.0012,0.0017,1387.566,1317.73176,663.952936,3369.2507,-5.03451797,-0.00050345,-0.02658023,-0.02708368,0.004
Miami,Gas,Low,Medium,0.0018,0.0256,0.0041,1391.00047,1317.73176,665.552983,3374.28522,0,0,0,0,0.032
Miami,Gas,Low,High,0.0024,0.05,0.0065,1395.00736,1317.73176,667.160761,3379.89988,5.61466023,0.00056147,0.02809608,0.02865755,0.062
Miami,Liquid,Low,Low,0.005,0.001,0.01,3827.99952,3816.48342,201.772001,7846.25494,-1.12721788,-0.00011272,-0.08680674,-0.08691946,0.016
Miami,Liquid,Low,Medium,0.03,0.0255,0.0155,3827.99952,3816.48342,202.899219,7847.38216,0,0,0,0,0.075
Miami,Liquid,Low,High,0.055,0.05,0.021,3827.99952,3816.48342,204.039102,7848.52204,1.13988325,0.00011399,0.09656412,0.09667811,0.138
Miami,Pipeline,Low,Low,0.001,0.0002,0.0017,290.51565,466.784154,1824.88223,2582.18203,-9.96098065,-0.0009961,-0.01550359,-0.01649968,0.003
Miami,Pipeline,Low,Medium,0.0255,0.0003,0.0041,290.51565,472.347387,1829.27997,2592.14301,0,0,0,0,0.031
Miami,Pipeline,Low,High,0.05,0.0004,0.0065,290.51565,478.115472,1833.69897,2602.33009,10.1870804,0.00101871,0.01612341,0.01714212,0.060
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
City Name,Delivery Mode,Demand Level,Leakage Level,Distribution Leakage Rate,Transmission Lekage Rate,Station Leakage Rate,Transmission GHG,Distribution GHG,Station GHG,Total GHG,GHG Difference,GHG Cost Difference,Cost Differnce,Total Cost,Cumulative Leakage Rate
New Haven,Gas,Medium,Low,0.0012,0.0012,0.0017,1387.46243,1287.88989,593.148878,3268.5012,-5.41231942,-0.00054123,-0.02816359,-0.02870483,0.004
New Haven,Gas,Medium,Medium,0.0018,0.0256,0.0041,1391.44533,1287.88989,594.578296,3273.91351,0,0,0,0,0.032
New Haven,Gas,Medium,High,0.0024,0.05,0.0065,1394.76441,1287.88989,596.01462,3278.66892,4.7554086,0.00047554,0.0369755,0.03745104,0.062
New Haven,Liquid,Medium,Low,0.005,0.001,0.01,3827.99952,3811.57646,201.275117,7840.85109,-1.12444199,-0.00011244,-0.0855142,-0.08562664,0.016
New Haven,Liquid,Medium,Medium,0.03,0.0255,0.0155,3827.99952,3811.57646,202.399559,7841.97554,0,0,0,0,0.075
New Haven,Liquid,Medium,High,0.055,0.05,0.021,3827.99952,3811.57646,203.536635,7843.11261,1.13707617,0.00011371,0.09595256,0.09606627,0.138
New Haven,Pipeline,Medium,Low,0.001,0.0002,0.0017,282.821548,347.033971,1825.23319,2455.08871,-7.86891181,-0.00078689,-0.0130492,-0.01383609,0.003
New Haven,Pipeline,Medium,Medium,0.0255,0.0003,0.0041,282.821548,350.504289,1829.63178,2462.95762,0,0,0,0,0.031
New Haven,Pipeline,Medium,High,0.05,0.0004,0.0065,282.821548,354.142186,1834.05163,2471.01536,8.05774257,0.00080577,0.01356877,0.01437454,0.060
Fresno,Gas,Medium,Low,0.0012,0.0012,0.0017,1387.41253,1280.13147,593.148878,3260.69287,-5.45245758,-5.45E-04,-0.02826359,-0.02880884,0.004
Fresno,Gas,Medium,Medium,0.0018,0.0256,0.0041,1391.43556,1280.13147,594.578296,3266.14533,0,0,0,0,0.032
