City Name,Delivery Type,Station Size,Leakage Level,Market Penetration Rate,Distribution Leakage,Transmission Leakage,Station Leakage Rates,Distribution Cost,Transmission Cost,Station Cost,H2 Deivery (Market Rate),Total Costs,Transmission Length
"New Haven, CT",Gas,1000 kg/day,Medium,0.01,0.0018,0.0106,0.0041,-,3.4137,1.8234,"1,997.58",5.2372,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.02,0.0018,0.0106,0.0041,-,3.3399,1.5306,"3,995.16",4.8705,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.03,0.0018,0.0106,0.0041,-,3.1319,1.6282,"5,992.74",4.7601,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.04,0.0018,0.0106,0.0041,-,3.1571,1.5306,"7,990.32",4.6877,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.05,0.0018,0.0106,0.0041,-,3.154,1.5892,"9,987.90",4.7432,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.06,0.0018,0.0106,0.0041,-,3.0911,1.5306,"11,985.48",4.6216,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.07,0.0018,0.0106,0.0041,-,3.0951,1.5724,"13,983.06",4.6675,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.08,0.0018,0.0106,0.0041,-,3.1117,1.5306,"15,980.64",4.6423,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.09,0.0018,0.0106,0.0041,-,3.0626,1.5631,"17,978.22",4.6257,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.10,0.0018,0.0106,0.0041,-,3.0786,1.5306,"19,975.80",4.6092,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.11,0.0018,0.0106,0.0041,-,3.0816,1.5572,"21,973.38",4.6388,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.12,0.0018,0.0106,0.0041,-,3.0549,1.5306,"23,970.96",4.5854,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.13,0.0018,0.0106,0.0041,-,3.06,1.5531,"25,968.54",4.6131,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.14,0.0018,0.0106,0.0041,-,3.0703,1.5306,"27,966.12",4.6009,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.15,0.0018,0.0106,0.0041,-,3.0439,1.5501,"29,963.70",4.594,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.16,0.0018,0.0106,0.0041,-,3.0538,1.5306,"31,961.28",4.5844,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.17,0.0018,0.0106,0.0041,-,3.0568,1.5478,"33,958.86",4.6046,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.18,0.0018,0.0106,0.0041,-,3.0408,1.5306,"35,956.44",4.5714,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.19,0.0018,0.0106,0.0041,-,3.0441,1.546,"37,954.02",4.5901,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.20,0.0018,0.0106,0.0041,-,3.0525,1.5306,"39,951.60",4.5831,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.21,0.0018,0.0106,0.0041,-,3.0336,1.5445,"41,949.18",4.5781,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.22,0.0018,0.0106,0.0041,-,3.0417,1.5306,"43,946.76",4.5723,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.23,0.0018,0.0106,0.0041,-,3.0443,1.5433,"45,944.34",4.5876,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.24,0.0018,0.0106,0.0041,-,3.0321,1.5306,"47,941.92",4.5627,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.25,0.0018,0.0106,0.0041,-,3.0353,1.5423,"49,939.50",4.5776,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.26,0.0018,0.0106,0.0041,-,3.0415,1.5306,"51,937.08",4.5721,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.27,0.0018,0.0106,0.0041,-,3.0277,1.5414,"53,934.66",4.5691,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.28,0.0018,0.0106,0.0041,-,3.0337,1.5306,"55,932.24",4.5643,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.29,0.0018,0.0106,0.0041,-,3.0359,1.5407,"57,929.82",4.5766,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.30,0.0018,0.0106,0.0041,-,3.0268,1.5306,"59,927.40",4.5574,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.31,0.0018,0.0106,0.0041,-,3.0291,1.54,"61,924.98",4.5691,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.32,0.0018,0.0106,0.0041,-,3.0346,1.5306,"63,922.56",4.5652,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.33,0.0018,0.0106,0.0041,-,3.026,1.5395,"65,920.14",4.5655,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.34,0.0018,0.0106,0.0041,-,3.0281,1.5306,"67,917.72",4.5587,250
"New Haven, CT",Gas,1000 kg/day,Medium,0.35,0.0018,0.0106,0.0041,-,3.0332,1.5389,"69,915.30",4.5721,250
