Gas Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.18558469,80.2007604,10.369288,0.00174022,100,0.00536455,0.01173104,33,10.9195729,368888.223,0.9531426,1.09315255,0.8897975,1.12483823,1.13656223,1.9587,1.2619,0.9696407,4.1902407,,0.18558469,80.2007604,0.02956553,0.00536455,0.00021902,33,10.9195729,368888.223,0.9531426,1.09315255,0.8897975,1.12483823,100,1.13656223,0.8008,1.0928,2.03387469,3.92747469
0.19162949,79.529705,8.41967154,0.00190724,100,0.00648389,0.00652614,34,8.34382226,265693.2,1.06874828,1.00702884,0.91608853,0.89220536,0.98857167,1.9118,1.2496,1.00486627,4.16626627,,0.19162949,79.529705,0.01961148,0.00648389,0.0003037,34,8.34382226,265693.2,1.06874828,1.00702884,0.91608853,0.89220536,100,0.98857167,0.7976,1.1029,2.1067386,4.0072386
0.10179653,81.3111377,9.19113207,0.00190096,100,0.00186892,0.01011462,33,9.56857457,319360.244,0.87794719,1.13582861,0.81049976,1.11654003,1.06866987,1.6347,0.9587,0.78053939,3.37393939,,0.10179653,81.3111377,0.00613946,0.00186892,0.00036267,33,9.56857457,319360.244,0.87794719,1.13582861,0.81049976,1.11654003,100,1.06866987,0.7986,1.0875,1.50563357,3.39173357
0.18902459,77.8074789,11.6562648,0.00202431,100,0.00419665,0.00146967,34,9.21624653,333562.148,0.83057756,1.11441209,1.1153255,1.03033431,1.06276076,1.9936,1.2725,1.16628422,4.43238422,,0.18902459,77.8074789,0.00137666,0.00419665,0.00036696,34,9.21624653,333562.148,0.83057756,1.11441209,1.1153255,1.03033431,100,1.06276076,0.7976,1.0996,2.35502649,4.25222649
0.18181456,84.6856904,13.2022157,0.00216872,100,0.00618267,0.01668627,32,10.3090229,392159.688,1.12034974,1.0710233,0.91770868,0.95653436,0.84329612,2.0287,1.2667,0.94716624,4.24256624,,0.18181456,84.6856904,0.02026884,0.00618267,0.00021247,32,10.3090229,392159.688,1.12034974,1.0710233,0.91770868,0.95653436,100,0.84329612,0.7991,1.0776,1.98887792,3.86557792
0.17590429,89.2496967,11.7517753,0.00145955,100,0.00643506,0.00499771,30,10.9128995,316135.228,1.14324455,1.05209472,0.97522683,1.13178265,0.99681466,1.9043,1.2151,0.94192926,4.06132926,,0.17590429,89.2496967,0.00781773,0.00643506,0.00025074,30,10.9128995,316135.228,1.14324455,1.05209472,0.97522683,1.13178265,100,0.99681466,0.797,1.048,1.96516801,3.81016801
0.21316991,89.0634322,11.4157224,0.00231258,100,0.00637702,0.00593448,30,10.2918823,277557.552,0.81372428,0.87361453,1.16179047,1.16872261,1.07804353,2.0085,1.3266,1.12032327,4.45542327,,0.21316991,89.0634322,0.02003172,0.00637702,0.00033608,30,10.2918823,277557.552,0.81372428,0.87361453,1.16179047,1.16872261,100,1.07804353,0.7948,1.0487,2.34977737,4.19327737
0.09494131,87.8395128,7.42641783,0.00221388,100,0.00568829,0.00548764,31,9.39109309,214327.967,1.07625608,1.18655622,1.07135406,0.84486582,0.85306246,1.5073,0.8992,0.90198802,3.30848802,,0.09494131,87.8395128,0.02608356,0.00568829,0.00035796,31,9.39109309,214327.967,1.07625608,1.18655622,1.07135406,0.84486582,100,0.85306246,0.8024,1.0666,1.68201685,3.55101685
0.1894191,80.468533,8.10264826,0.0012356,100,0.00571532,0.01823956,33,8.51753111,339457.643,1.04964795,1.04387085,1.11693945,1.00552175,1.09403026,1.9558,1.2643,1.14006988,4.36016988,,0.1894191,80.468533,0.03451886,0.00571532,0.00027715,33,8.51753111,339457.643,1.04964795,1.04387085,1.11693945,1.00552175,100,1.09403026,0.8004,1.0935,2.3155205,4.2094205
0.12538066,84.0639877,9.59571981,0.00200029,100,0.00270017,0.00712424,32,9.33724096,288626.206,0.94169712,0.95654171,1.16247182,1.06828988,0.9879739,1.7009,1.0261,1.04069262,3.76769262,,0.12538066,84.0639877,0.03360914,0.00270017,0.0003347,32,9.33724096,288626.206,0.94169712,0.95654171,1.16247182,1.06828988,100,0.9879739,0.7984,1.0786,1.98358969,3.86058969
0.12686278,76.897819,9.16680193,0.00190604,100,0.00187816,0.00917985,35,8.75763688,299771.583,1.17165103,0.92620146,1.02492809,0.91661441,0.9221401,1.7174,1.0339,1.01688793,3.76818793,,0.12686278,76.897819,0.0321931,0.00187816,0.00035216,35,8.75763688,299771.583,1.17165103,0.92620146,1.02492809,0.91661441,100,0.9221401,0.7976,1.1166,1.94853245,3.86273245
0.09600834,72.1015882,8.74552107,0.00172516,100,0.00309426,0.01315597,37,10.5137332,268461.096,1.03798075,1.04181192,0.8842979,1.06990149,1.10840933,1.5566,0.9156,0.91507369,3.38727369,,0.09600834,72.1015882,0.00959998,0.00309426,0.00029208,37,10.5137332,268461.096,1.03798075,1.04181192,0.8842979,1.06990149,100,1.10840933,0.7971,1.1379,1.70299502,3.63799502
0.09376451,78.0082726,10.5198045,0.0021887,100,0.00578828,0.00433799,34,9.72703114,372793.806,1.16896691,1.12790616,0.93885698,1.11769884,1.00927246,1.6631,0.9534,0.89659906,3.51309906,,0.09376451,78.0082726,0.0364987,0.00578828,0.00029734,34,9.72703114,372793.806,1.16896691,1.12790616,0.93885698,1.11769884,100,1.00927246,0.8025,1.1077,1.66908684,3.57928684
0.13062012,82.0096874,8.30697393,0.00126948,100,0.00559876,0.01385122,33,8.55581157,211584.103,0.89359818,0.83189323,0.94325318,0.90543797,1.02786973,1.6585,1.0145,0.91473827,3.58773827,,0.13062012,82.0096874,0.00776647,0.00559876,0.00027815,33,8.55581157,211584.103,0.89359818,0.83189323,0.94325318,0.90543797,100,1.02786973,0.7923,1.0855,1.79815287,3.67595287
0.11206948,79.8045325,12.4560895,0.00157606,100,0.00403562,0.01440717,34,9.70558448,249576.557,0.97028213,0.83792536,1.16690483,1.05923889,0.82459238,1.6803,0.9725,1.07260631,3.72540631,,0.11206948,79.8045325,0.00872076,0.00403562,0.0003655,34,9.70558448,249576.557,0.97028213,0.83792536,1.16690483,1.05923889,100,0.82459238,0.7926,1.0984,1.99829096,3.88929096
0.14599031,76.9120646,12.0315433,0.00157008,100,0.00587159,0.01675454,35,10.2184443,213442.004,1.01086874,1.19482763,0.81021171,1.13727725,1.12274668,1.7665,1.0863,0.88282937,3.73562937,,0.14599031,76.9120646,0.04530825,0.00587159,0.00039972,35,10.2184443,213442.004,1.01086874,1.19482763,0.81021171,1.13727725,100,1.12274668,0.8052,1.1231,1.78842912,3.71672912
0.10162326,74.3263936,12.0279031,0.00221962,100,0.00410232,0.01139738,36,8.61008158,332304.895,1.03748631,0.84559014,0.81607847,0.99521406,1.16578052,1.7205,0.967,0.84641753,3.53391753,,0.10162326,74.3263936,0.03709458,0.00410232,0.00027294,36,8.61008158,332304.895,1.03748631,0.84559014,0.81607847,0.99521406,100,1.16578052,0.7965,1.1299,1.60957004,3.53597004
0.07234045,75.1864052,13.3660064,0.00220092,100,0.00632535,0.00644291,36,8.67320116,366551.888,1.1096899,0.94592273,0.91425061,1.05318787,0.88857243,1.6676,0.8861,0.87590694,3.42960694,,0.07234045,75.1864052,0.00414861,0.00632535,0.00039427,36,8.67320116,366551.888,1.1096899,0.94592273,0.91425061,1.05318787,100,0.88857243,0.7943,1.1242,1.57788503,3.49638503
0.20689058,74.336307,13.4203038,0.00186111,100,0.00398769,0.00354164,36,10.9160962,218671.691,1.05942225,1.05937216,0.83596287,0.85186946,0.96528318,1.9731,1.2933,1.01137868,4.27777868,,0.20689058,74.336307,0.048165,0.00398769,0.00039631,36,10.9160962,218671.691,1.05942225,1.05937216,0.83596287,0.85186946,100,0.96528318,0.8027,1.1345,2.15632264,4.09352264
0.11630812,77.6518011,10.8274531,0.00165431,100,0.00315232,0.00298199,34,10.6551286,369876.158,0.87128725,1.01650178,0.93640018,0.98507903,1.19626982,1.7216,1.0227,0.92781472,3.67211472,,0.11630812,77.6518011,0.03441882,0.00315232,0.00025184,34,10.6551286,369876.158,0.87128725,1.01650178,0.93640018,0.98507903,100,1.19626982,0.7998,1.1055,1.77890087,3.68420087
0.14617406,83.0068803,8.32616282,0.00146373,100,0.00623324,0.00210229,32,9.02986603,236252.63,1.14563584,0.92563374,1.1624711,1.19646585,0.99656227,1.7101,1.078,1.08499067,3.87309067,,0.14617406,83.0068803,0.02039585,0.00623324,0.00021948,32,9.02986603,236252.63,1.14563584,0.92563374,1.1624711,1.19646585,100,0.99656227,0.796,1.0762,2.11139259,3.98359259
0.21641567,79.7562504,9.37828588,0.00152216,100,0.00334947,0.01228233,34,10.0596246,388197.529,1.18196449,1.12265365,1.00339379,1.12775052,1.04840233,2.0765,1.3729,1.09938057,4.54878057,,0.21641567,79.7562504,0.03919256,0.00334947,0.00028687,34,10.0596246,388197.529,1.18196449,1.12265365,1.00339379,1.12775052,100,1.04840233,0.8028,1.1077,2.32241569,4.23291569
0.13333293,88.608377,14.3211637,0.00234342,100,0.00434765,0.0116772,30,8.31016803,226881.206,1.1201261,1.1473778,1.16159439,1.10602958,0.88034532,1.8314,1.0621,1.00878178,3.90228178,,0.13333293,88.608377,0.01402925,0.00434765,0.00023043,30,8.31016803,226881.206,1.1201261,1.1473778,1.16159439,1.10602958,100,0.88034532,0.7999,1.0499,1.95538315,3.80518315
0.22103894,88.7641573,7.80121946,0.00137725,100,0.00454347,0.0187557,30,9.98931353,361494.029,1.07685347,0.93398283,0.98141799,0.85764277,0.83542407,2.0456,1.3703,1.01211099,4.42801099,,0.22103894,88.7641573,0.00447026,0.00454347,0.00026009,30,9.98931353,361494.029,1.07685347,0.93398283,0.98141799,0.85764277,100,0.83542407,0.7941,1.0457,2.19786603,4.03766603
0.14200186,84.1962171,11.2388024,0.00120011,100,0.0040318,0.00640605,32,8.74019308,381023.729,1.11509519,1.1029979,0.97315207,0.93610265,0.99087551,1.8734,1.126,0.93151563,3.93091563,,0.14200186,84.1962171,0.01719501,0.0040318,0.00026811,32,8.74019308,381023.729,1.11509519,1.1029979,0.97315207,0.93610265,100,0.99087551,0.7994,1.0768,1.85531377,3.73151377
