Gas Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.12747825,81.2167287,8.54075098,0.00163728,100,0.0033092,0.01814624,381,11.2277459,208645.38,0.94975591,1.19784386,1.0921298,0.96862257,1.13656223,1.5856,1.183,1.02346374,3.79206374,,0.12747825,81.2167287,0.02975254,0.0033092,0.00034855,381,11.2277459,208645.38,0.94975591,1.19784386,1.0921298,0.96862257,100,1.13656223,0.2991,1.3424,1.96170463,3.60320463
0.15258112,84.756794,12.4127898,0.00149081,100,0.00451548,0.01750107,365,10.4424219,386367.714,0.99860744,0.85573261,0.85513349,1.01960175,0.98857167,1.8709,1.3824,0.85988117,4.11318117,,0.15258112,84.756794,0.03465566,0.00451548,0.00029775,365,10.4424219,386367.714,0.99860744,0.85573261,0.85513349,1.01960175,100,0.98857167,0.295,1.3212,1.7702286,3.3864286
0.1647518,73.9744449,8.13578844,0.00201258,100,0.00488881,0.0174082,418,11.0939534,363066.375,1.13836665,1.18660147,0.96208744,0.95005825,1.06866987,1.8134,1.3783,1.05674654,4.24844654,,0.1647518,73.9744449,0.03288858,0.00488881,0.00035545,418,11.0939534,363066.375,1.13836665,1.18660147,0.96208744,0.95005825,100,1.06866987,0.2993,1.3935,2.11496265,3.80776265
0.22758334,75.0188208,10.0182796,0.00140437,100,0.00392028,0.00137562,412,8.38581173,239875.09,0.83410616,1.17960756,1.09239535,0.98115599,1.06276076,2.0166,1.5779,1.23598857,4.83048857,,0.22758334,75.0188208,0.00600565,0.00392028,0.00036591,412,8.38581173,239875.09,0.83410616,1.17960756,1.09239535,0.98115599,100,1.06276076,0.2958,1.3764,2.56952443,4.24172443
0.11124657,88.8498521,9.09584665,0.00121581,100,0.00322703,0.01370491,348,8.49779892,343428.075,0.82289567,0.93291676,0.82343454,1.16513803,0.84329612,1.6722,1.211,0.74951928,3.63271928,,0.11124657,88.8498521,0.04278758,0.00322703,0.00033734,348,8.49779892,343428.075,0.82289567,0.93291676,0.82343454,1.16513803,100,0.84329612,0.2971,1.2995,1.48304041,3.07964041
0.06603988,88.2206821,12.7522178,0.00231482,100,0.0045062,0.00493292,351,8.2175904,320293.629,1.14720039,0.95350845,1.1311419,1.08356869,0.99681466,1.5857,1.0887,0.89662249,3.57102249,,0.06603988,88.2206821,0.01851639,0.0045062,0.00026015,351,8.2175904,320293.629,1.14720039,0.95350845,1.1311419,1.08356869,100,0.99681466,0.2942,1.2962,1.59510192,3.18550192
0.17816558,75.050714,11.8716092,0.00226915,100,0.00495755,0.00781549,412,9.38243442,288438.976,0.84609199,0.88354266,0.81091232,1.18463829,1.07804353,1.899,1.4349,0.94499862,4.27889862,,0.17816558,75.050714,0.04236354,0.00495755,0.00034159,412,9.38243442,288438.976,0.84609199,0.88354266,0.81091232,1.18463829,100,1.07804353,0.2964,1.388,1.97370227,3.65810227
0.21492035,85.0642824,11.2723193,0.00145119,100,0.0032249,0.00171597,364,8.94975741,289476.359,1.04177198,0.84078977,1.05630965,0.84703028,0.85306246,2.0163,1.5583,1.08438414,4.65898414,,0.21492035,85.0642824,0.01148519,0.0032249,0.0002256,364,8.94975741,289476.359,1.04177198,0.84078977,1.05630965,0.84703028,100,0.85306246,0.2918,1.3117,2.29510777,3.89860777
0.20898722,71.5699506,13.1715722,0.0014788,100,0.00610626,0.01236087,432,8.36542578,335440.385,0.85890775,1.06062272,1.13309011,1.157851,1.09403026,2.1023,1.5904,1.29001517,4.98271517,,0.20898722,71.5699506,0.00366816,0.00610626,0.00021652,432,8.36542578,335440.385,0.85890775,1.06062272,1.13309011,1.157851,100,1.09403026,0.2938,1.402,2.60589087,4.30169087
0.20401662,85.2554321,13.4316115,0.0015046,100,0.00348274,0.00222519,363,8.54841383,393846.619,0.91428089,0.82707164,0.98603826,0.89212182,0.9879739,2.1082,1.594,1.0188022,4.7210022,,0.20401662,85.2554321,0.01862048,0.00348274,0.0003755,363,8.54841383,393846.619,0.91428089,0.82707164,0.98603826,0.89212182,100,0.9879739,0.2925,1.3126,2.16152683,3.76662683
0.17618401,71.873138,8.33704424,0.00176615,100,0.00491622,0.01391001,430,8.66062799,304781.425,0.81424823,0.98044112,1.11611538,1.0813338,0.9221401,1.8524,1.4097,1.2237434,4.4858434,,0.17618401,71.873138,0.0402502,0.00491622,0.00020829,430,8.66062799,304781.425,0.81424823,0.98044112,1.11611538,1.0813338,100,0.9221401,0.2974,1.411,2.41116254,4.11956254
0.16891157,74.6913481,11.6534343,0.00130957,100,0.00216574,0.01837466,414,10.6806373,273773.062,1.1975152,1.18898981,0.96542048,0.85856497,1.10840933,1.8373,1.3811,1.05450869,4.27290869,,0.16891157,74.6913481,0.03252621,0.00216574,0.00031318,414,10.6806373,273773.062,1.1975152,1.18898981,0.96542048,0.85856497,100,1.10840933,0.2993,1.3872,2.12154503,3.80804503
0.2104414,73.5860085,11.7171464,0.00229911,100,0.00627267,0.01498618,420,8.85006008,234194.028,0.96072183,0.87217267,1.1474637,0.96765993,1.00927246,1.9945,1.5284,1.27665451,4.79955451,,0.2104414,73.5860085,0.03276487,0.00627267,0.00020784,420,8.85006008,234194.028,0.96072183,0.87217267,1.1474637,0.96765993,100,1.00927246,0.2949,1.3956,2.58899219,4.27949219
0.13644785,77.6481533,8.30643988,0.00122519,100,0.00186462,0.01384839,398,8.511357,222944.653,0.80434113,1.16294563,0.96025224,1.02397206,1.02786973,1.663,1.2371,0.97326949,3.87336949,,0.13644785,77.6481533,0.02843619,0.00186462,0.00020385,398,8.511357,222944.653,0.80434113,1.16294563,0.96025224,1.02397206,100,1.02786973,0.2984,1.3645,1.90510198,3.56800198
0.16237643,73.181951,7.04381227,0.0016233,100,0.00332808,0.00557319,423,10.9057802,363167.942,1.13639007,0.99663279,1.1196888,1.11416824,0.82459238,1.7744,1.3594,1.18771428,4.32151428,,0.16237643,73.181951,0.00183322,0.00332808,0.00024764,423,10.9057802,363167.942,1.13639007,0.99663279,1.1196888,1.11416824,100,0.82459238,0.2927,1.3887,2.31604498,3.99744498
0.20269664,73.9683771,11.0795932,0.00161643,100,0.00509981,0.00955655,418,10.1502287,297745.669,0.871453,0.9138561,0.95078254,0.822596,1.12274668,1.9583,1.5082,1.1018995,4.5683995,,0.20269664,73.9683771,0.04919853,0.00509981,0.00029653,418,10.1502287,297745.669,0.871453,0.9138561,0.95078254,0.822596,100,1.12274668,0.2977,1.3985,2.28950405,3.98570405
0.22675656,85.6695104,11.806788,0.00229334,100,0.00352705,0.01452166,361,8.66176043,367325.723,0.9625176,1.06502755,0.9741725,0.87171323,1.16578052,2.1491,1.6454,1.03939467,4.83389467,,0.22675656,85.6695104,0.00315146,0.00352705,0.00024871,361,8.66176043,367325.723,0.9625176,1.06502755,0.9741725,0.87171323,100,1.16578052,0.2938,1.3056,2.25576144,3.85516144
0.07342636,81.248455,14.3571715,0.00163537,100,0.00494639,0.00579177,381,10.5485098,276630.7,1.00312328,0.80390384,1.12546353,1.06408036,0.88857243,1.5444,1.077,0.97230615,3.59370615,,0.07342636,81.248455,0.00850992,0.00494639,0.00029589,381,10.5485098,276630.7,1.00312328,0.80390384,1.12546353,1.06408036,100,0.88857243,0.2909,1.3347,1.73471255,3.36031255
0.07921841,89.2798877,7.62863207,0.00140408,100,0.00303142,0.01525524,346,11.1357621,242797.744,0.93732219,0.95770361,0.94487476,1.11341503,0.96528318,1.4211,1.0238,0.78137464,3.22627464,,0.07921841,89.2798877,0.0348504,0.00303142,0.00021736,346,11.1357621,242797.744,0.93732219,0.95770361,0.94487476,1.11341503,100,0.96528318,0.2964,1.294,1.44724005,3.03764005
0.17707146,82.0262289,14.5937648,0.00190244,100,0.00565915,0.0030853,377,8.44593403,269499.648,0.81495256,1.16128709,0.9747005,1.05220931,1.19626982,1.9665,1.4656,1.00334238,4.43544238,,0.17707146,82.0262289,0.0454001,0.00565915,0.00038414,377,8.44593403,269499.648,0.81495256,1.16128709,0.9747005,1.05220931,100,1.19626982,0.3007,1.3429,2.06481284,3.70841284
0.09548644,75.1544404,8.63971567,0.00182185,100,0.00554517,0.00537689,411,8.9012104,240597.188,0.82972474,1.1428983,1.10208368,0.80340936,0.99656227,1.5247,1.1066,1.05626729,3.68756729,,0.09548644,75.1544404,0.00610478,0.00554517,0.00029216,411,8.9012104,240597.188,0.82972474,1.1428983,1.10208368,0.80340936,100,0.99656227,0.2953,1.3755,1.92722534,3.59802534
0.10020116,75.9684467,11.6892753,0.00148768,100,0.00609756,0.00896334,407,10.567587,377072.728,1.17761955,0.94896972,0.88460183,1.00365765,1.04840233,1.6594,1.1933,0.88426664,3.73696664,,0.10020116,75.9684467,0.00896617,0.00609756,0.00029292,407,10.567587,377072.728,1.17761955,0.94896972,0.88460183,1.00365765,100,1.04840233,0.293,1.3707,1.66668859,3.33038859
0.06309179,82.0321822,11.8532224,0.00211571,100,0.00393952,0.0157751,377,9.30906978,250995.052,0.97309928,1.19548953,0.99616547,0.86559761,0.88034532,1.4864,1.0256,0.85529885,3.36729885,,0.06309179,82.0321822,0.01199266,0.00393952,0.00024077,377,9.30906978,250995.052,0.97309928,1.19548953,0.99616547,0.86559761,100,0.88034532,0.2968,1.3313,1.52060434,3.14870434
0.12548819,77.0582628,12.3639178,0.002392,100,0.00355079,0.01180327,401,9.47078059,200265.467,1.16063108,0.93343122,1.03072906,0.96674082,0.83542407,1.67,1.2179,1.01934294,3.90724294,,0.12548819,77.0582628,0.033357,0.00355079,0.00022514,401,9.47078059,200265.467,1.16063108,0.93343122,1.03072906,0.96674082,100,0.83542407,0.2959,1.37,1.94930324,3.61520324
