Gas Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.15221214,83.7566495,7.96940851,0.00197993,100,0.002970827,0.01538425,32,8.59817839,208038.27,0.94128919,0.85957215,1.19796057,0.9780834,1.13656223,1.7181,1.1331,1.10716995,3.95836995,,0.15221214,83.7566495,0.00572007,0.00297083,0.00027236,32,8.59817839,208038.27,0.94128919,0.85957215,1.19796057,0.9780834,100,1.13656223,0.7875,1.3831,2.16179275,4.33239275
0.1399602,87.8245163,10.3955855,0.00164972,100,0.001994449,0.01673838,31,8.88892095,388054.001,1.02325535,1.07749202,0.90274587,1.13809273,0.98857167,1.8529,1.1707,0.84937659,3.87297659,,0.1399602,87.8245163,0.0232661,0.00199445,0.00038288,31,8.88892095,388054.001,1.02325535,1.07749202,0.90274587,1.13809273,100,0.98857167,0.7945,1.3712,1.71881555,3.88451555
0.06713996,75.6327128,13.4974294,0.00229164,100,0.002838546,0.00744216,36,9.80740037,372331.703,1.18941531,1.11353362,0.94105663,0.93385379,1.06866987,1.6202,0.9259,0.88183485,3.42793485,,0.06713996,75.6327128,0.00176137,0.00283855,0.00023739,36,9.80740037,372331.703,1.18941531,1.11353362,0.94105663,0.93385379,100,1.06866987,0.7924,1.4538,1.57269744,3.81889744
0.06898022,78.0471754,13.9233165,0.00225453,100,0.005629352,0.01054048,35,9.70972474,205657.446,1.04292765,0.94259622,1.03506999,1.05821021,1.06276076,1.5242,0.8741,0.93377363,3.33207363,,0.06898022,78.0471754,0.04207811,0.00562935,0.00026328,35,9.70972474,205657.446,1.04292765,0.94259622,1.03506999,1.05821021,100,1.06276076,0.7941,1.4453,1.66110327,3.90050327
0.1898266,89.2602563,14.8299241,0.00183352,100,0.005437924,0.00625152,30,9.06973896,321599.042,0.87926049,0.98765042,1.1877492,0.8866472,0.84329612,2.0537,1.3377,1.10149655,4.49289655,,0.1898266,89.2602563,0.02558443,0.00543792,0.00024953,30,9.06973896,321599.042,0.87926049,0.98765042,1.1877492,0.8866472,100,0.84329612,0.7928,1.3533,2.25615623,4.40225623
0.13137887,85.6481457,7.25332403,0.001453,100,0.002084049,0.01417093,32,8.27931774,230689.633,0.95709,0.90704277,1.12092957,1.1630338,0.99681466,1.6514,1.0682,1.00400225,3.72360225,,0.13137887,85.6481457,0.02076303,0.00208405,0.0002837,32,8.27931774,230689.633,0.95709,0.90704277,1.12092957,1.1630338,100,0.99681466,0.7905,1.3868,1.94139119,4.11869119
0.17565476,70.0189185,9.01132631,0.00156058,100,0.003808902,0.00311802,39,10.5088148,315642.536,0.92701125,1.10836298,1.13371696,0.82442749,1.07804353,1.8541,1.2566,1.26222744,4.37292744,,0.17565476,70.0189185,0.04919309,0.0038089,0.00035536,39,10.5088148,315642.536,0.92701125,1.10836298,1.13371696,0.82442749,100,1.07804353,0.7987,1.5146,2.47011595,4.78341595
0.08986795,88.1262064,8.88707304,0.00194447,100,0.00426645,0.0016868,31,11.2464182,377347.338,1.15556173,0.97637365,0.81869864,1.05244143,0.85306246,1.5831,0.9769,0.72165089,3.28165089,,0.08986795,88.1262064,0.04848926,0.00426645,0.00039469,31,11.2464182,377347.338,1.15556173,0.97637365,0.81869864,1.05244143,100,0.85306246,0.7958,1.3767,1.38116527,3.55366527
0.17290752,89.3234944,9.84388208,0.00208681,100,0.004683609,0.01646413,30,7.98516245,225397.241,0.98205724,1.10250237,0.97346678,0.93867414,1.09403026,1.8717,1.232,0.93428194,4.03798194,,0.17290752,89.3234944,0.04904139,0.00468361,0.00036493,30,7.98516245,225397.241,0.98205724,1.10250237,0.97346678,0.93867414,100,1.09403026,0.7985,1.36,1.9440886,4.1025886
0.14560652,88.2340431,7.02134085,0.0020654,100,0.005439152,0.00877757,31,9.97634599,256897.652,1.04574032,0.90339649,0.94495435,0.85170166,0.9879739,1.6823,1.1208,0.88559978,3.68869978,,0.14560652,88.2340431,0.00564883,0.00543915,0.00027751,31,9.97634599,256897.652,1.04574032,0.90339649,0.94495435,0.85170166,100,0.9879739,0.7884,1.3661,1.79302316,3.94752316
0.12948709,89.3114352,10.26265,0.00141643,100,0.002911363,0.0163354,30,8.41810575,217306.03,0.92074122,1.11604025,0.9440836,0.89313228,0.9221401,1.71,1.0787,0.8517669,3.6404669,,0.12948709,89.3114352,0.01139295,0.00291136,0.00024862,30,8.41810575,217306.03,0.92074122,1.11604025,0.9440836,0.89313228,100,0.9221401,0.7937,1.3509,1.69484707,3.83944707
0.18116965,81.1657476,14.9232173,0.00207059,100,0.004644442,0.00322138,33,11.0978975,387052.977,0.99635134,1.15693452,0.96822696,1.13022368,1.10840933,2.0155,1.3236,1.0113857,4.3504857,,0.18116965,81.1657476,0.01634177,0.00464444,0.00036591,33,11.0978975,387052.977,0.99635134,1.15693452,0.96822696,1.13022368,100,1.10840933,0.7952,1.4066,2.0880994,4.2898994
0.1621336,72.5303483,10.7105012,0.00137515,100,0.005083665,0.00400664,37,8.35763245,287694.585,0.84010911,1.03283894,0.8689805,1.19256265,1.00927246,1.8674,1.2164,0.99372717,4.07752717,,0.1621336,72.5303483,0.04793031,0.00508367,0.00038407,37,8.35763245,287694.585,0.84010911,1.03283894,0.8689805,1.19256265,100,1.00927246,0.7969,1.4811,2.00751184,4.28551184
0.06601718,86.744318,8.30510473,0.00231446,100,0.00452929,0.0044413,31,10.1002206,251346.028,1.1811985,1.19057662,1.00274987,0.92030728,1.02786973,1.4312,0.8594,0.82281969,3.11341969,,0.06601718,86.744318,0.03111051,0.00452929,0.00031811,31,10.1002206,251346.028,1.1811985,1.19057662,1.00274987,0.92030728,100,1.02786973,0.7979,1.3748,1.47750361,3.65020361
0.1181438,76.6254973,9.51311922,0.00234141,100,0.006359209,0.00228824,35,8.80626941,247146.404,1.15165992,0.99340136,1.00164871,1.05149162,0.82459238,1.6492,1.0448,0.99407843,3.68807843,,0.1181438,76.6254973,0.03361437,0.00635921,0.00025301,35,8.80626941,247146.404,1.15165992,0.99340136,1.00164871,1.05149162,100,0.82459238,0.794,1.4439,1.89009633,4.12799633
0.17446247,86.6091585,8.699718,0.0017323,100,0.005570358,0.01976159,31,9.97968981,208504.832,0.92291365,1.01142728,1.10220962,1.03589289,1.12274668,1.796,1.2135,1.04685478,4.05635478,,0.17446247,86.6091585,0.00992422,0.00557036,0.00033857,31,9.97968981,208504.832,0.92291365,1.01142728,1.10220962,1.03589289,100,1.12274668,0.7913,1.3683,2.12745386,4.28705386
0.19958983,74.0273023,11.2540002,0.00187765,100,0.002088872,0.01293237,36,10.4909575,354877.794,1.1750958,0.81362107,0.96940756,1.16296117,1.16578052,2.0057,1.351,1.10835903,4.46505903,,0.19958983,74.0273023,0.04079368,0.00208887,0.00038812,36,10.4909575,354877.794,1.1750958,0.81362107,0.96940756,1.16296117,100,1.16578052,0.7912,1.4597,2.28978815,4.54068815
0.07614114,86.4035797,8.83508444,0.00142148,100,0.006298993,0.0041639,31,10.1367813,251827.729,0.93670673,0.84885662,1.05349584,1.09131157,0.88857243,1.4641,0.8879,0.87632752,3.22832752,,0.07614114,86.4035797,0.01941321,0.00629899,0.00034993,31,10.1367813,251827.729,0.93670673,0.84885662,1.05349584,1.09131157,100,0.88857243,0.789,1.3688,1.59028522,3.74808522
