Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Pipeline Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.09842503,73.4494257,11.6264825,0.00537194,100,0.01760416,0.04891296,14,7.98183241,328523.958,0.94806256,1.05018952,1.19329596,0.89051473,0.89923351,3.2922,2.682,0.78599316,6.76019316,,0.09842503,73.4494257,0.00534605,0.00228153,0.00021331,14,7.98183241,328523.958,0.94806256,1.05018952,1.19329596,0.89051473,100,0.89923351,2.3276,3.1255,2.14336755,7.59646755
0.21805694,64.7406769,10.409349,0.0478881,100,0.0126862,0.01973918,16,8.0917217,346704.972,1.16353703,0.98008449,1.02465596,0.88329995,0.89076016,5.1222,4.3666,0.8381318,10.3269318,,0.21805694,64.7406769,0.04217775,0.00593127,0.00039478,16,8.0917217,346704.972,1.16353703,0.98008449,1.02465596,0.88329995,100,0.89076016,2.3306,3.3288,2.71447971,8.37387971
0.11122943,50.6121969,7.60811663,0.01074026,100,0.01356425,0.04829032,20,10.1566428,284919.441,1.06857638,1.0119879,1.03788128,0.86681736,0.85395467,3.6431,2.9896,0.99202594,7.62472594,,0.11122943,50.6121969,0.04626314,0.00639876,0.00025183,20,10.1566428,284919.441,1.06857638,1.0119879,1.03788128,0.86681736,100,0.85395467,2.332,3.6876,2.66598926,8.68558926
0.16186271,77.2489834,9.19928694,0.05249891,100,0.0189646,0.04401739,13,7.97059433,393031.561,1.03587046,0.81220529,1.08093028,1.15656683,0.98351004,4.2895,3.5876,0.72562963,8.60272963,,0.16186271,77.2489834,0.03282014,0.00618209,0.00026538,13,7.97059433,393031.561,1.03587046,0.81220529,1.08093028,1.15656683,100,0.98351004,2.3249,3.0247,2.2429732,7.5925732
0.16096258,71.8638659,7.04266214,0.01575858,100,0.01409518,0.0265885,14,9.29218693,219062.269,1.07416863,0.86386349,0.97629747,0.86943986,1.03722961,4.1737,3.5219,0.70893217,8.40453217,,0.16096258,71.8638659,0.02954695,0.00174921,0.00039978,14,9.29218693,219062.269,1.07416863,0.86386349,0.97629747,0.86943986,100,1.03722961,2.3258,3.1272,2.19415852,7.64715852
0.18110768,85.4123497,13.252439,0.05299233,100,0.01408157,0.0109255,12,10.2699359,222372.83,0.94917831,1.10421531,0.80909944,0.85946171,0.92606614,4.2376,3.631,0.54070876,8.40930876,,0.18110768,85.4123497,0.04836572,0.00594177,0.00026486,12,10.2699359,222372.83,0.94917831,1.10421531,0.80909944,0.85946171,100,0.92606614,2.3348,2.9257,1.88944238,7.14994238
0.07566342,66.0887098,8.09955263,0.01119533,100,0.01360228,0.01876009,16,8.92771049,293879.688,0.86227584,1.08850672,1.03547325,1.19259613,1.13072336,2.8142,2.3024,0.75303091,5.86963091,,0.07566342,66.0887098,0.00452945,0.00184782,0.00034435,16,8.92771049,293879.688,0.86227584,1.08850672,1.03547325,1.19259613,100,1.13072336,2.3286,3.3215,1.98172784,7.63182784
0.18990987,57.3533344,9.19527006,0.03000495,100,0.01562946,0.01305329,18,8.72908957,227050.555,0.82452993,0.86790655,0.84878745,1.04811251,1.00732005,4.0424,3.4859,0.79132953,8.31962953,,0.18990987,57.3533344,0.028686,0.00439321,0.00025941,18,8.72908957,227050.555,0.82452993,0.86790655,0.84878745,1.04811251,100,1.00732005,2.3258,3.5071,2.48118091,8.31408091
0.13377128,84.2413187,7.70603418,0.02048496,100,0.01793133,0.00487191,12,8.28937311,233431.756,0.96353765,1.06899865,0.94116545,1.03401563,1.14461658,3.6367,3.0806,0.58790788,7.30520788,,0.13377128,84.2413187,0.0127428,0.00390173,0.0002862,12,8.28937311,233431.756,0.96353765,1.06899865,0.94116545,1.03401563,100,1.14461658,2.3291,2.9174,1.81757867,7.06407867
0.1583346,81.7023087,7.3495574,0.05426127,100,0.01474261,0.00656575,13,8.15400026,246456.826,1.10057278,1.16233661,0.89782147,0.80403779,0.835304,4.2481,3.6149,0.59349368,8.45649368,,0.1583346,81.7023087,0.03562615,0.00387402,0.0003959,13,8.15400026,246456.826,1.10057278,1.16233661,0.89782147,0.80403779,100,0.835304,2.3346,3.0314,1.92341551,7.28941551
0.20084463,68.7215948,11.9221654,0.0051967,100,0.01875913,0.00733943,15,8.61212354,207286.346,0.83554683,1.00756094,1.16170902,0.9636935,1.02385557,4.1222,3.5722,0.8746362,8.5690362,,0.20084463,68.7215948,0.04427875,0.00643525,0.00033636,15,8.61212354,207286.346,0.83554683,1.00756094,1.16170902,0.9636935,100,1.02385557,2.3316,3.2337,2.7308196,8.2961196
0.20536319,61.972456,9.10739088,0.0482924,100,0.01236297,0.01256241,17,10.7640893,376429.045,1.07728243,0.86257875,0.80598178,1.15289671,1.19344084,4.7861,4.0981,0.71766069,9.60186069,,0.20536319,61.972456,0.01948932,0.00170148,0.00032373,17,10.7640893,376429.045,1.07728243,0.86257875,0.80598178,1.15289671,100,1.19344084,2.3245,3.4139,2.36927472,8.10767472
0.09877984,72.749753,8.31581736,0.03300325,100,0.0147342,0.00441112,14,10.1115746,364894.14,0.85659928,1.14430592,0.85176706,1.09264047,1.15440223,3.0905,2.5752,0.59706221,6.26276221,,0.09877984,72.749753,0.00639796,0.00411487,0.00036308,14,10.1115746,364894.14,0.85659928,1.14430592,0.85176706,1.09264047,100,1.15440223,2.3303,3.1278,1.70695084,7.16505084
0.22436172,60.9347725,8.30617285,0.01065487,100,0.01425574,0.03668679,17,10.1891297,228624.928,0.9597126,0.92847183,0.96875176,1.0832391,1.19679406,4.6966,4.0118,0.85002523,9.55842523,,0.22436172,60.9347725,0.03877106,0.00239756,0.0002667,17,10.1891297,228624.928,0.9597126,0.92847183,0.96875176,1.0832391,100,1.19679406,2.3288,3.4196,2.74823259,8.49663259
0.1875299,89.7413206,12.3376737,0.00814963,100,0.01336733,0.00290285,12,9.80587802,219963.634,0.81944404,1.0759865,1.09608078,0.94163291,0.96948411,3.9407,3.4033,0.65441777,7.99841777,,0.1875299,89.7413206,0.04738945,0.0029743,0.00028872,12,9.80587802,219963.634,0.81944404,1.0759865,1.09608078,0.94163291,100,0.96948411,2.3339,2.9245,2.17970349,7.43810349
0.06104981,54.9930668,10.6036181,0.05264933,100,0.01777499,0.04998568,19,10.1161209,239897.501,0.80174513,1.17337034,0.82106795,0.86525538,1.14831774,2.5847,2.0834,0.73089145,5.39899145,,0.06104981,54.9930668,0.00214367,0.00231392,0.00034494,19,10.1161209,239897.501,0.80174513,1.17337034,0.82106795,0.86525538,100,1.14831774,2.3305,3.5936,1.85505159,7.77915159
0.11932322,52.6821375,11.6962304,0.01442184,100,0.01367225,0.02518223,19,10.3875998,284836.137,0.92503324,1.17474625,1.05321951,1.00996282,0.85584438,3.4434,2.8641,0.97198595,7.27948595,,0.11932322,52.6821375,0.01067991,0.00323942,0.00023659,19,10.3875998,284836.137,0.92503324,1.17474625,1.05321951,1.00996282,100,0.85584438,2.3316,3.5957,2.64325366,8.57055366
0.07396932,58.55896,14.8527541,0.04753934,100,0.01237927,0.0310186,18,9.78616407,231670.105,1.14983997,1.1328944,1.03106999,1.0695266,1.09510663,3.3953,2.7452,0.83946277,6.97996277,,0.07396932,58.55896,0.01069058,0.00425691,0.0003467,18,9.78616407,231670.105,1.14983997,1.1328944,1.03106999,1.0695266,100,1.09510663,2.3305,3.5074,2.17797014,8.01587014
0.18538232,83.503356,8.73279619,0.02061565,100,0.01355625,0.010403,12,9.54559503,354860.771,0.87627215,0.90686934,0.99933071,0.84418781,0.95999181,4.096,3.514,0.64680812,8.25680812,,0.18538232,83.503356,0.0281931,0.00255328,0.00032788,12,9.54559503,354860.771,0.87627215,0.90686934,0.99933071,0.84418781,100,0.95999181,2.3268,2.9173,2.1486805,7.3927805
