Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Compression Efficiency,Transmission Length,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.21031859,75.4813623,9.7979455,0.05000247,100,0.012232,0.04385499,162,8.2900054,368281.114,0.94467587,1.15488083,0.99562826,1.13429906,1.13777645,3.945,3.4132,0.71543134,8.07363134,,0.21031859,75.4813623,0.00553306,0.00502618,0.00034283,162,8.2900054,368281.114,0.94467587,1.15488083,0.99562826,1.13429906,1.13777645,100,0.4355,3.0521,2.40413216,5.89173216
0.17900857,75.1948547,14.4024673,0.04513017,100,0.01916854,0.01780876,163,10.1903213,267379.487,1.09339619,0.82878826,0.96370091,1.01069634,1.19865735,3.6514,3.1981,0.68794474,7.53744474,,0.17900857,75.1948547,0.00822192,0.00396286,0.00038883,163,10.1903213,267379.487,1.09339619,0.82878826,0.96370091,1.01069634,1.19865735,100,0.4302,3.0587,2.21009437,5.69899437
0.17418469,75.9388113,14.552773,0.01401794,100,0.02001621,0.04293776,161,8.28202157,328625.572,0.92899585,1.06276076,1.18946896,1.10033557,0.89834478,3.4199,2.9493,0.80353032,7.17273032,,0.17418469,75.9388113,0.02401226,0.00461865,0.00024461,161,8.28202157,328625.572,0.92899585,1.06276076,1.18946896,1.10033557,0.89834478,100,0.4363,3.0503,2.46489781,5.95149781
0.20042147,71.6716671,7.56130171,0.03081245,100,0.01422102,0.01907485,171,10.5401595,299344.504,1.03939905,0.87740076,1.05800014,1.10738852,1.13582861,3.7894,3.3294,0.77935113,7.89815113,,0.20042147,71.6716671,0.03744912,0.00590572,0.00026433,171,10.5401595,299344.504,1.03939905,0.87740076,1.05800014,1.10738852,1.13582861,100,0.4348,3.1348,2.51453711,6.08413711
0.09039459,80.1921892,10.9362931,0.03532502,100,0.01082781,0.03934029,153,10.8809629,370330.656,1.17671456,1.12575696,0.88202333,1.07804353,0.89508407,2.7417,2.2878,0.55545667,5.58495667,,0.09039459,80.1921892,0.00306569,0.00359357,0.00032466,153,10.8809629,370330.656,1.17671456,1.12575696,0.88202333,1.07804353,0.89508407,100,0.4347,2.9768,1.58839566,4.99989566
0.07124327,83.3543205,14.2528815,0.00576113,100,0.01897877,0.00261587,147,10.9746268,226531.231,0.95313416,1.00562904,0.96501451,0.81124775,1.11011078,2.1694,1.8374,0.57146187,4.57826187,,0.07124327,83.3543205,0.01006437,0.00401291,0.00027428,147,10.9746268,226531.231,0.95313416,1.00562904,0.96501451,0.81124775,1.11011078,100,0.4335,2.9283,1.5479742,4.9097742
0.21065909,78.0632734,8.55543947,0.01523901,100,0.01611119,0.01403858,157,8.01826262,304761.112,0.89464355,1.09843485,1.08459511,0.80851181,0.95653436,3.7006,3.2819,0.74562784,7.72812784,,0.21065909,78.0632734,0.02686127,0.00522836,0.00034985,157,8.01826262,304761.112,0.89464355,1.09843485,1.08459511,0.80851181,0.95653436,100,0.4373,3.0193,2.47263972,5.92923972
0.13988891,51.8028736,13.0411716,0.02678468,100,0.0117607,0.04685752,236,8.28775389,302198.946,1.19004583,0.9221401,0.83374305,1.05027697,1.03227046,3.3414,2.8229,0.82227924,6.98657924,,0.13988891,51.8028736,0.01408763,0.00192983,0.00032705,236,8.28775389,302198.946,1.19004583,0.9221401,0.83374305,1.05027697,1.03227046,100,0.4325,3.5915,2.36381757,6.38781757
0.1533394,66.4441538,12.7749581,0.04399122,100,0.01962618,0.0462479,184,8.13726778,229414.499,1.17279744,1.08575051,0.95731611,1.18634489,1.18975132,3.4947,2.9844,0.74779799,7.22689799,,0.1533394,66.4441538,0.0308921,0.00429267,0.00022556,184,8.13726778,229414.499,1.17279744,1.08575051,0.95731611,1.18634489,1.18975132,100,0.4376,3.2329,2.248395,5.918895
0.06697056,84.0851974,11.1854491,0.04702946,100,0.01730271,0.00192573,146,10.7651731,351677.239,1.07315655,1.03286655,1.12138791,1.02786973,0.88221486,2.3196,1.9515,0.64051481,4.91161481,,0.06697056,84.0851974,0.02063749,0.00465659,0.0002367,146,10.7651731,351677.239,1.07315655,1.03286655,1.12138791,1.02786973,0.88221486,100,0.4353,2.9242,1.69894816,5.05844816
