Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.131797573,66.3376474,14.0263619,0.0491651,100,0.01440674,0.04211584,15,10.3032269,289373.91,0.95991597,0.88376992,0.88513288,1.03726957,1.13656223,3.7569,3.1065,0.68817736,7.55157736,,0.13179757,66.3376474,0.0291915,0.00467525,0.00035997,15,10.3032269,289373.9104,0.95991597,0.88376992,0.88513288,1.03726957,100,1.13656223,2.3469,2.4367,2.03854078,6.82214078
0.09972622,88.1510544,8.43343496,0.00754086,100,0.011998,0.00199564,12,10.946623,224344.17,0.80902996,0.90962131,1.03799863,1.03741257,0.98857167,2.9406,2.4595,0.58832831,5.98842831,,0.09972622,88.1510544,0.03852313,0.00562071,0.0003156,12,10.946623,224344.1701,0.80902996,0.90962131,1.03799863,1.03741257,100,0.98857167,2.3489,2.2096,1.7077141,6.2662141
0.145886001,61.9690466,11.3018193,0.02426837,100,0.01848238,0.04252425,16,9.91781697,231947.982,1.15710826,1.0342829,0.90732441,1.04950359,1.06866987,4.232,3.5165,0.75723363,8.50573363,,0.145886,61.9690466,0.00164123,0.00542913,0.00037712,16,9.91781697,231947.9823,1.15710826,1.0342829,0.90732441,1.04950359,100,1.06866987,2.3474,2.505,2.24271166,7.09511166
0.111907089,76.7695904,14.9322352,0.02840152,100,0.01356712,0.00881625,13,10.8771161,320936.263,0.82352037,0.98402116,1.16118579,1.12869093,1.06276076,3.1877,2.6575,0.7413822,6.5865822,,0.11190709,76.7695904,0.04111869,0.00474939,0.00036906,13,10.8771161,320936.2626,0.82352037,0.98402116,1.16118579,1.12869093,100,1.06276076,2.3512,2.2909,2.10292869,6.74502869
0.152950541,62.7147341,13.4149537,0.02227604,100,0.01453096,0.00645725,16,10.5314709,289622.915,0.91525788,0.94723637,1.10625696,0.93932703,0.84329612,3.8,3.2245,0.88100781,7.90550781,,0.15295054,62.7147341,0.02423136,0.00249396,0.00036272,16,10.5314709,289622.9148,0.91525788,0.94723637,1.10625696,0.93932703,100,0.84329612,2.348,2.5075,2.56209578,7.41759578
0.225633102,52.6154518,9.75089025,0.01830152,100,0.01344137,0.0400092,19,9.5035176,307818.425,1.13533287,0.84926727,1.06339669,0.82821057,0.99681466,5.1129,4.3281,1.03907422,10.4800742,,0.2256331,52.6154518,0.03542042,0.00549278,0.0002319,19,9.5035176,307818.4247,1.13533287,0.84926727,1.06339669,0.82821057,100,0.99681466,2.3468,2.7098,3.19860954,8.25520954
0.113178572,64.1777372,10.5039487,0.04704247,100,0.0103211,0.03528537,16,8.710778,255794.704,1.14898887,0.85375826,1.06354675,1.13689125,1.07804353,3.8659,3.1753,0.81010534,7.85130534,,0.11317857,64.1777372,0.02436808,0.00441594,0.00032507,16,8.710778,255794.704,1.14898887,0.85375826,1.06354675,1.13689125,100,1.07804353,2.3455,2.5063,2.2635943,7.1153943
0.194983237,56.7799473,7.73461485,0.04127591,100,0.01817012,0.04173848,18,10.2737644,264031.184,1.14522429,1.07808912,1.10144286,0.8405369,0.85306246,4.818,4.0676,0.98751173,9.87311173,,0.19498324,56.7799473,0.0062803,0.00581505,0.00022268,18,10.2737644,264031.1837,1.14522429,1.07808912,1.10144286,0.8405369,100,0.85306246,2.3491,2.6424,2.96042633,7.95192633
0.150282862,66.5313959,13.9648004,0.01321306,100,0.01749934,0.03155593,15,8.82174177,347492.158,1.03112836,1.01036713,1.08463812,1.10086324,1.09403026,4.0476,3.3747,0.82287728,8.24517728,,0.15028286,66.5313959,0.04722028,0.00493344,0.00039842,15,8.82174177,347492.1584,1.03112836,1.01036713,1.08463812,1.10086324,100,1.09403026,2.3527,2.4427,2.4196095,7.2150095
0.13810874,73.3621979,9.92393637,0.05457259,100,0.01678225,0.04730579,14,10.9148952,278185.38,0.99652958,0.81548183,1.11533895,1.020626,0.9879739,3.9017,3.2398,0.76402985,7.90552985,,0.13810874,73.3621979,0.01458646,0.00593504,0.00025309,14,10.9148952,278185.3795,0.99652958,0.81548183,1.11533895,1.020626,100,0.9879739,2.3432,2.3592,2.24647288,6.94887288
