Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.07369113,68.3695841,12.197825,0.04379563,100,0.02003457,0.03705788,170,10.6113999,329131.067,0.95652928,0.98846123,1.08746519,0.8810539,1.13899066,2.3046,1.8998,0.76456258,4.96896258,,0.07369113,68.3695841,0.02937851,0.0026199,0.00028949,170,10.6113999,329131.067,0.95652928,0.98846123,1.08746519,0.8810539,100,1.13899066,0.4455,2.3247,1.9939222,4.7641222
0.06067785,58.6052322,12.4265532,0.05478293,100,0.01848034,0.04906522,198,9.64522264,345018.685,1.13888912,1.15832508,0.97704358,1.16480896,1.00874302,2.3923,1.9385,0.79852106,5.12932106,,0.06067785,58.6052322,0.00456731,0.0036523,0.00030965,198,9.64522264,345018.685,1.13888912,1.15832508,0.97704358,1.16480896,100,1.00874302,0.4453,2.4728,2.01943409,4.93753409
0.20884127,87.295661,10.2464757,0.02754605,100,0.01393434,0.0371717,133,8.04319577,275654.113,1.01752772,1.08505576,1.05891209,0.88302181,1.12801969,3.9259,3.3843,0.66436481,7.97456481,,0.20884127,87.295661,0.02839035,0.00364902,0.00036989,133,8.04319577,275654.113,1.01752772,1.08505576,1.05891209,0.88302181,100,1.12801969,0.4471,2.0974,2.28034345,4.82484345
0.15046584,71.1922741,13.29425,0.00671506,100,0.01982354,0.03287372,163,10.0466813,227249.205,0.82704897,1.04921663,1.13825564,1.07951262,0.80889647,2.9648,2.5463,0.80761019,6.31871019,,0.15046584,71.1922741,0.04574768,0.00447302,0.00036801,163,10.0466813,227249.205,0.82704897,1.04921663,1.13825564,1.07951262,100,0.80889647,0.4488,2.2908,2.38337988,5.12297988
0.08238255,71.0430574,9.30858469,0.04184248,100,0.01126359,0.01920903,164,8.72024689,240891.302,1.01780381,0.80912983,1.01198282,1.14793069,0.94687202,2.4315,2.0275,0.69180547,5.15080547,,0.08238255,71.0430574,0.0467501,0.00433832,0.00028759,164,8.72024689,240891.302,1.01780381,0.80912983,1.01198282,1.14793069,100,0.94687202,0.4447,2.2956,1.875361,4.615661
0.1157687,50.5574226,10.7513328,0.02107032,100,0.01833857,0.03169957,230,10.2082085,311976.826,1.13928871,1.15068099,0.81931176,1.17999661,0.82340691,2.9664,2.4961,0.82118696,6.28368696,,0.1157687,50.5574226,0.04611908,0.00356392,0.00024132,230,10.2082085,311976.826,1.13928871,1.15068099,0.81931176,1.17999661,100,0.82340691,0.4506,2.6523,2.26157374,5.36447374
0.07817424,76.1523008,10.9598355,0.05108614,100,0.01283001,0.03056386,153,11.2013301,266676.128,1.18135657,0.86368639,1.11266861,1.15280693,0.83502519,2.5988,2.1471,0.70162732,5.44752732,,0.07817424,76.1523008,0.0466999,0.00299648,0.00033057,153,11.2013301,266676.128,1.18135657,0.86368639,1.11266861,1.15280693,100,0.83502519,0.4456,2.2293,1.88258372,4.55748372
0.14496228,51.2294865,11.5805163,0.03805563,100,0.01430136,0.02654271,227,9.83242877,339179.575,1.11074018,1.13232267,1.08639846,0.84270136,0.81147845,3.3023,2.8105,1.03910982,7.15190982,,0.14496228,51.2294865,0.04068193,0.00335167,0.00029032,227,9.83242877,339179.575,1.11074018,1.13232267,1.08639846,0.84270136,100,0.81147845,0.4495,2.6351,2.89192668,5.97652668
0.16985098,88.734231,11.0337243,0.03671932,100,0.01919419,0.02393192,131,8.66963644,343474.901,0.84038815,1.02711899,1.10078878,0.8531925,0.88547237,3.273,2.8383,0.65707253,6.76837253,,0.16985098,88.734231,0.01636957,0.00532438,0.00033779,131,8.66963644,343474.901,0.84038815,1.02711899,1.10078878,0.8531925,100,0.88547237,0.4445,2.0803,2.11650143,4.64130143
0.2167447,75.7450867,13.7598281,0.04734079,100,0.01934235,0.04266578,153,10.1260681,383405.793,0.96911335,1.08601177,0.93890538,0.84445794,1.17645581,4.0622,3.5052,0.69098302,8.25838302,,0.2167447,75.7450867,0.0485978,0.00191761,0.0002939,153,10.1260681,383405.793,0.96911335,1.08601177,0.93890538,0.84445794,100,1.17645581,0.4498,2.231,2.35080528,5.03160528
0.07754155,73.8450003,9.99655962,0.05269402,100,0.01606032,0.00354509,157,8.85464578,294761.741,1.12905383,0.87196181,0.93374081,1.15189502,1.05097234,2.5163,2.1027,0.62404817,5.24304817,,0.07754155,73.8450003,0.024136,0.0036401,0.00029603,157,8.85464578,294761.741,1.12905383,0.87196181,0.93374081,1.15189502,100,1.05097234,0.4428,2.2457,1.69110123,4.37960123
0.1931051,89.0236568,13.8376079,0.04977722,100,0.01571209,0.00795348,131,10.3468292,263149.13,0.87844629,0.89463403,0.80317531,0.88123801,0.82207434,3.5633,3.1385,0.52749602,7.22929602,,0.1931051,89.0236568,0.03567376,0.00402278,0.00027099,131,10.3468292,263149.13,0.87844629,0.89463403,0.80317531,0.88123801,100,0.82207434,0.4447,2.0857,1.89871818,4.42911818
0.14708763,74.8610735,9.32246256,0.04344079,100,0.01741671,0.03665574,155,10.6040022,311393.583,0.977212,0.98363965,1.13025026,0.86773775,0.85029953,3.1833,2.7154,0.76391767,6.66261767,,0.14708763,74.8610735,0.04023252,0.00530388,0.00038684,155,10.6040022,311393.583,0.977212,0.98363965,1.13025026,0.86773775,100,0.85029953,0.4469,2.2407,2.27785797,4.96545797
0.12479239,82.7424431,8.30750799,0.03161677,100,0.01729686,0.01552196,140,8.60026615,200223.553,0.98285522,0.90084083,0.92625413,1.18690388,1.10871003,2.8476,2.4424,0.58444472,5.87444472,,0.12479239,82.7424431,0.03609674,0.00453289,0.00035245,140,8.60026615,200223.553,0.98285522,0.90084083,0.92625413,1.18690388,100,1.10871003,0.4449,2.1448,1.77752486,4.36722486
0.06176253,82.854228,9.86836672,0.02433744,100,0.01242654,0.03227114,140,8.50538878,335985.172,0.80417418,1.07921793,0.81412086,1.00430954,1.17449396,1.9663,1.6071,0.49065013,4.06405013,,0.06176253,82.854228,0.0156083,0.00474317,0.00028336,140,8.50538878,335985.172,0.80417418,1.07921793,0.81412086,1.00430954,100,1.17449396,0.4453,2.1388,1.33146939,3.91556939
0.08928397,69.711504,12.9834933,0.05123041,100,0.01238433,0.01057819,167,10.2866598,329138.339,1.15028448,1.07579916,1.06964087,1.05195849,1.10962946,2.6967,2.254,0.74280502,5.69350502,,0.08928397,69.711504,0.04141798,0.00184337,0.0003029,167,10.2866598,329138.339,1.15028448,1.07579916,1.06964087,1.05195849,100,1.10962946,0.4486,2.3119,2.01328401,4.77378401
0.14648996,75.9665537,12.2490182,0.02467779,100,0.01406836,0.02213781,153,8.55840273,297284.067,1.11245503,1.02615273,1.05798445,1.11871488,0.9931113,3.2872,2.8032,0.71183421,6.80223421,,0.14648996,75.9665537,0.02203769,0.00467759,0.00029717,153,8.55840273,297284.067,1.11245503,1.02615273,1.05798445,1.11871488,100,0.9931113,0.4452,2.222,2.15807623,4.82527623
0.07125454,88.2487106,12.3748412,0.03832699,100,0.01917915,0.02852933,132,10.1978925,256473.076,0.81625652,1.08794162,1.10303769,1.04229538,0.96723988,2.0818,1.7263,0.60693619,4.41503619,,0.07125454,88.2487106,0.04878729,0.0029043,0.00029265,132,10.1978925,256473.076,0.81625652,1.08794162,1.10303769,1.04229538,100,0.96723988,0.4498,2.0979,1.63254668,4.18024668
0.16456276,68.7854528,11.2119756,0.04314044,100,0.01152681,0.01297591,169,10.6964303,394545.639,1.18152232,1.16104071,1.12705097,0.9903239,0.96047285,3.6055,3.1013,0.82697327,7.53377327,,0.16456276,68.7854528,0.01247961,0.00494397,0.00037526,169,10.6964303,394545.639,1.18152232,1.16104071,1.12705097,0.9903239,100,0.96047285,0.4464,2.3148,2.4958644,5.2570644
0.22554478,56.5547466,7.06114149,0.00567202,100,0.01206859,0.00434213,205,9.46432316,270252.669,0.92762194,0.87171648,0.89809985,0.91794875,0.94933913,3.8476,3.4121,0.85353161,8.11323161,,0.22554478,56.5547466,0.02343754,0.00544548,0.00031954,205,9.46432316,270252.669,0.92762194,0.87171648,0.89809985,0.91794875,100,0.94933913,0.4427,2.5156,2.76768869,5.72598869
0.19686167,51.7186403,8.01260996,0.01575748,100,0.0133332,0.04696359,224,9.15852165,231908.071,1.06154695,1.10836918,0.82285852,1.18952234,1.12191551,3.8081,3.2567,0.84730973,7.91210973,,0.19686167,51.7186403,0.03468693,0.0021213,0.0003468,224,9.15852165,231908.071,1.06154695,1.10836918,0.82285852,1.18952234,100,1.12191551,0.4483,2.6172,2.6284306,5.6939306
0.16263017,77.0881081,7.0672965,0.0233064,100,0.01563815,0.03515227,151,9.55166214,399322.331,1.18630943,0.89633758,1.12218575,0.85184338,1.00536568,3.5838,3.051,0.74704178,7.38184178,,0.16263017,77.0881081,0.02041895,0.00540138,0.00028083,151,9.55166214,399322.331,1.18630943,0.89633758,1.12218575,0.85184338,100,1.00536568,0.4427,2.2086,2.30031085,4.95161085
0.20357408,60.3691435,8.78910494,0.04638329,100,0.01625616,0.02947141,192,10.7112663,202767.36,0.86715293,1.09926608,0.92702332,0.94646156,1.12004182,3.6835,3.2196,0.81858237,7.72168237,,0.20357408,60.3691435,0.01606584,0.00475578,0.00022008,192,10.7112663,202767.36,0.86715293,1.09926608,0.92702332,0.94646156,100,1.12004182,0.4457,2.4446,2.59949422,5.48979422
0.14658968,70.9401035,11.2385211,0.00526516,100,0.01443721,0.01812373,164,10.5078465,322722.59,0.99307585,0.93453443,0.93210692,1.14854472,0.82264864,3.1011,2.6602,0.68367434,6.44497434,,0.14658968,70.9401035,0.02458352,0.00553614,0.00029504,164,10.5078465,322722.59,0.99307585,0.93453443,0.93210692,1.14854472,100,0.82264864,0.4439,2.2887,2.0885479,4.8211479
0.13841274,54.9103022,8.93745661,0.04966325,100,0.02094221,0.01004665,211,9.52066755,324152.315,0.97116742,0.99024994,0.94498968,0.91980855,0.90096996,3.0429,2.6334,0.87076218,6.54706218,,0.13841274,54.9103022,0.00178522,0.00178579,0.00032938,211,9.52066755,324152.315,0.97116742,0.99024994,0.94498968,0.91980855,100,0.90096996,0.442,2.5385,2.45881004,5.43931004
0.12557456,62.2098541,12.6153426,0.00879623,100,0.01949465,0.03555823,187,10.0599148,329064.286,0.89125614,0.93130214,0.96787801,0.86300881,1.18265774,2.7879,2.3598,0.78459491,5.93229491,,0.12557456,62.2098541,0.04781937,0.00606864,0.00027389,187,10.0599148,329064.286,0.89125614,0.93130214,0.96787801,0.86300881,100,1.18265774,0.447,2.4285,2.23252799,5.10802799
0.10533458,89.4607687,11.4864736,0.00650251,100,0.01730647,0.03464776,130,10.474018,321099.555,1.0983707,0.98197997,0.94978008,0.86549594,1.1205837,2.7869,2.3291,0.5459044,5.6619044,,0.10533458,89.4607687,0.01313603,0.00416688,0.00033179,130,10.474018,321099.555,1.0983707,0.98197997,0.94978008,0.86549594,100,1.1205837,0.4433,2.0719,1.61907952,4.13427952
0.16477707,72.3792934,13.8086009,0.04607916,100,0.01658445,0.01725453,161,10.3608821,325903.571,0.9105134,1.17265146,0.84646678,0.91933234,1.01725333,3.2997,2.8599,0.63418001,6.79378001,,0.16477707,72.3792934,0.04253513,0.00609739,0.00034413,161,10.3608821,325903.571,0.9105134,1.17265146,0.84646678,0.91933234,100,1.01725333,0.4505,2.2791,2.03733327,4.76693327
0.21775938,51.4595079,7.47277689,0.03203475,100,0.01667322,0.01012868,226,9.15177402,361028.516,1.11924615,0.83800595,1.12574511,1.00547197,0.85078247,4.0939,3.5994,1.10892925,8.80222925,,0.21775938,51.4595079,0.01614066,0.00609683,0.00025418,226,9.15177402,361028.516,1.11924615,0.83800595,1.12574511,1.00547197,100,0.85078247,0.4412,2.6204,3.326607,6.388207
0.07189923,64.6881676,12.3744483,0.00844391,100,0.01624133,0.00311784,180,8.58661525,299116.91,1.01058884,0.95435874,1.15554414,0.92950261,0.96493638,2.2822,1.8962,0.84519687,5.02359687,,0.07189923,64.6881676,0.0233943,0.00622562,0.00031942,180,8.58661525,299116.91,1.01058884,0.95435874,1.15554414,0.92950261,100,0.96493638,0.4441,2.3807,2.18820974,5.01300974
0.16028859,51.0407972,14.3158002,0.00609088,100,0.02066653,0.02197324,227,10.0494314,238116.443,1.14373031,0.80351832,1.01231346,1.0964505,0.98573129,3.4292,2.9494,0.99758562,7.37618562,,0.16028859,51.0407972,0.04941235,0.00504056,0.00038998,227,10.0494314,238116.443,1.14373031,0.80351832,1.01231346,1.0964505,100,0.98573129,0.445,2.6374,2.83918735,5.92158735
0.08512159,58.5090351,12.1893497,0.05308959,100,0.01852641,0.02601919,198,8.78270743,222276.08,0.82505178,0.95071599,1.14723411,0.91214755,1.02709849,2.2659,1.8986,0.9338432,5.0983432,,0.08512159,58.5090351,0.00529967,0.00278624,0.0002222,198,8.78270743,222276.08,0.82505178,0.95071599,1.14723411,0.91214755,100,1.02709849,0.4418,2.4716,2.42499608,5.33839608
0.15292403,60.4092264,12.1927896,0.01616787,100,0.01485092,0.02727952,192,8.24939966,207673.395,0.91496282,1.02409813,0.84774199,1.19866102,0.94811084,3.1028,2.6615,0.73498279,6.49928279,,0.15292403,60.4092264,0.02126449,0.00375521,0.00024611,192,8.24939966,207673.395,0.91496282,1.02409813,0.84774199,1.19866102,100,0.94811084,0.4451,2.4457,2.21676242,5.10756242
0.07357195,53.7222672,12.8250823,0.05230318,100,0.01354275,0.00690482,216,10.7613535,216023.171,1.10504971,0.88328083,0.93186383,1.11128571,1.12427189,2.4276,2.0224,0.83609481,5.28609481,,0.07357195,53.7222672,0.00262764,0.00246686,0.00025559,216,10.7613535,216023.171,1.10504971,0.88328083,0.93186383,1.11128571,100,1.12427189,0.4402,2.5641,2.15497038,5.15927038
